PUBID8   ,REGION8  ,CENDIV8  ,SQFT8    ,SQFTC8   ,YRCONC8  ,PBA8     ,ELUSED8  ,NGUSED8  ,FKUSED8  ,PRUSED8  ,STUSED8  ,HWUSED8  ,ADJWT8   ,STRATUM8 ,PAIR8    ,HDD658   ,CDD658   ,MFUSED8  ,MFBTU8   ,MFEXP8   ,ELCNS8   ,ELBTU8   ,ELEXP8   ,ZELCNS8  ,ZELEXP8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2965,2,3,2100,2,5,15,1,1,2,2,2,2,1701.91,54,1,6387,708,1,1713960,22796,172697,589242,15146,1,1
2966,4,9,30000,5,2,26,1,2,2,2,2,2,950.84,62,2,1084,1166,1,129400,5518,37925,129400,5518,0,0
2967,3,7,120000,7,6,2,1,1,1,2,2,2,76.17,49,1,1006,3594,1,5206589,110801,1519438,5184322,110320,0,0
2968,2,4,15000,4,7,5,1,2,2,2,2,2,4044.03,19,1,4006,1311,1,32073,803,9400,32073,803,1,1
2970,4,8,3200,2,6,5,2,2,2,2,2,2,3772.16,38,1,5655,769,2,                  ,          ,               ,                  ,          ,9,9
2971,3,5,92000,6,6,23,1,1,2, ,2,2,77.4,21,2,4787,947,1,16988248,251919,2717207,9271110,177933,1,1
2973,2,4,20000,4,2,5,1,1,2,2,2,2,4044.03,18,2,6553,895,1,644369,9350,69769,238052,6307,0,0
2974,4,8,3100,2,5,15,1,2,2,1,2,2,1390.68,37,2,5650,863,1,113108,2875,33150,113108,2875,0,0
2976,2,3,44000,5,7,23,1,1,2, ,2,2,222.73,16,1,4329,874,1,3331735,66962,610247,2082163,53964,0,0
2978,3,5,10000,3,5,6,1,2,2,2,2,2,734.43,56,2,2656,1363,1,326829,12605,95788,326829,12605,0,0
2980,1,2,29500,5,2,14,1,1,2,2,2,2,129.49,4,1,7724,513,1,1868151,21032,76080,259585,11416,0,0
2981,4,9,33000,5,5,2,1,1,2,2,2,2,41.74,47,2,908,868,1,2245539,80694,554063,1890463,77638,1,1
2982,2,4,1500,2,4,91,1,1,2,2,2,2,2724.37,18,2,6429,905,1,159052,2768,25645,87501,2113,0,0
2983,2,3,52000,6,4,1,1,1,2,2,2,2,469.34,16,2,6507,635,1,3204512,24834,23043,78623,2327,1,1
2984,4,9,150000,7,7,25,1,1,2,2,2,2,83.77,43,1,6530,529,1,13240882,212016,3046332,10394085,191831,0,0
2985,3,7,92000,6,7,14,1,1,2,2,2,2,364.2,36,2,1560,2989,1,3556831,69146,878400,2997101,64355,0,0
2987,3,5,74000,6,8,14,1,2,2,2,2,2,419.28,25,2,2920,1462,1,3815981,57795,1118400,3815981,57795,0,0
2988,2,4,6000,3,4,12,1,1,2,2,2,2,2724.37,18,2,7551,719,1,481876,5027,19093,65145,1699,1,0
2989,4,9,2850,2,3,8,1,2,2,2,2,2,1390.68,43,2,6107,863,1,152257,2528,44624,152257,2528,0,0
