PUBID8   ,REGION8  ,CENDIV8  ,SQFT8    ,SQFTC8   ,YRCONC8  ,PBA8     ,ELUSED8  ,NGUSED8  ,FKUSED8  ,PRUSED8  ,STUSED8  ,HWUSED8  ,ADJWT8   ,STRATUM8 ,PAIR8    ,HDD658   ,CDD658   ,MFUSED8  ,MFBTU8   ,MFEXP8   ,ELCNS8   ,ELBTU8   ,ELEXP8   ,ZELCNS8  ,ZELEXP8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
1,3,5,14000,4,8,5,1,1,2,2,2,2,734.43,23,2,2965,1367,1,453183,6839,59061,201516,4449,0,0
3,3,5,190000,7,4,2,1,2,1,2,2,2,80.65,23,1,4722,1294,1,19056316,347174,5564763,18986971,346483,1,1
5,4,9,25000,4,5,12,1,1,2,2,2,2,950.84,62,2,1111,682,1,135020,4381,23829,81305,3764,0,0
6,3,6,55000,6,4,2,1,2,2,2,1,2,274.46,29,2,3881,1213,1,4775316,69920,825122,2815316,46868,0,0
8,1,2,19000,4,4,14,1,2,1,2,2,2,446.21,7,1,6582,575,1,1689116,20054,130157,444096,12881,0,0
9,4,8,110000,7,5,14,1,2,2,2,1,2,22.68,107,2,851,3537,1,14185022,222639,2682011,9151022,163433,1,1
10,3,5,600000,9,1,16,1,1,1,2,1,2,18.98,25,2,2970,1505,1,87980982,966975,11313962,38603238,612666,1,1
11,2,3,6300,3,4,18,1,1,2,2,2,2,352.05,13,1,6470,715,1,576754,8009,61616,210234,4634,1,1
12,3,5,18000,4,6,2,1,2,2,2,2,2,808.04,21,2,4351,1293,1,1137315,21676,333328,1137315,21676,1,1
13,2,4,4800,2,5,15,1,1,2,2,2,2,1528.98,17,1,7780,667,1,1426937,18846,206965,706165,13360,0,0
14,1,2,65000,6,5,2,1,1,2,2,2,2,221.72,8,1,5372,825,1,3052212,55851,731381,2495472,52627,0,0
15,4,8,14250,4,4,18,1,1,2,2,2,2,446.21,39,1,4719,764,1,1306232,11494,37335,127387,3539,0,1
16,2,3,20000,4,5,23,1,1,2, ,2,2,864.37,12,1,5741,854,1,3457597,45789,395791,1350439,30553,0,0
17,1,1,164000,7,5,14,1,2,1,1,2,2,137.78,3,1,6224,613,1,14394536,223689,1430364,4880402,150672,0,0
18,4,8,2050,2,2,23,1,1,2, ,2,2,742.06,37,2,6453,381,1,301840,5008,43139,147190,3667,0,0
19,2,3,106000,7,7,5,1,1,2,2,2,2,38.21,12,1,8083,673,1,8364917,125603,1606330,5480798,107684,0,0
20,1,2,148000,7,3,14,1,1,2,2,2,2,137.73,7,1,6764,599,1,16365276,100970,1042998,3558709,82178,1,1
21,2,3,12500,4,6,12,1,2,2,2,2,2,2724.37,13,2,6261,592,1,152892,4058,44810,152892,4058,1,1
22,3,5,3350,2,8,26,1,2,2,1,2,2,2546.83,21,1,4645,1208,1,87334,2532,25596,87334,2532,1,1
23,2,3,15250,4,8,23,1,1,2, ,2,2,192.92,13,1,6148,790,1,2056683,29043,372043,1269411,23087,0,0
24,2,4,12750,4,3,2,1,1,2,2,2,2,402.35,19,2,4194,1897,1,1260137,14957,149346,509569,9679,0,0
25,3,5,17500,4,6,12,1,1,2,2,2,2,734.43,23,2,3374,1276,1,1509174,17539,113010,385590,7643,0,0
26,4,9,106000,7,7,25,1,1,2,2,2,2,97.97,40,1,2295,1292,1,6615424,206510,1715114,5851969,199632,0,0
27,3,5,74000,6,6,14,1,1,2,2,2,2,223.94,56,1,2719,1553,1,6452905,70561,1175219,4009847,56156,0,0
28,3,7,1550,2,7,14,1,2,2,2,2,2,1702.02,34,1,832,4791,1,39504,984,11578,39504,984,0,0
29,3,7,13500,4,7,13,1,1,2,2,2,2,808.04,32,1,4931,1394,1,529804,5500,25737,87815,2000,1,0
30,1,2,37000,5,2,5,1,1,2,2,2,2,813.44,51,2,4680,1221,1,1387567,23998,65373,223053,10526,0,0
31,3,5,310000,8,6,18,1,1,2,2,2,2,124.18,24,1,3011,1419,1,32346631,443499,7254510,24752388,379679,0,0
34,4,8,12000,4,3,5,1,1,2,2,2,2,80.53,37,1,5494,531,1,1287976,21015,69816,238212,14849,0,0
35,3,6,8000,3,6,12,1,1,2,2,2,2,2314.83,30,1,3734,1051,1,156626,2947,35117,119819,2544,0,0
36,1,2,15000,4,3,2,1,1,2,2,2,2,869.22,6,1,4640,1125,1,802762,31978,162000,552744,28598,0,0
37,3,7,1500000,10,5,24,1,1,1, ,2,2,70.96,57,1,2372,2588,1,111329414,2363552,29715594,101389607,2283226,0,0
39,4,9,600000,9,6,18,1,1,1,2,2,2,135.43,47,1,1248,449,1,43786477,894869,5316444,18139707,659141,0,0
40,4,9,260000,8,2,2,1,2,2,2,1,2,82.18,55,2,3844,282,1,40345144,176294,1273489,4345144,107294,0,0
41,1,2,4000,2,2,2,1,1,2,2,2,2,2463.5,7,1,5405,667,1,164156,2317,9464,32291,1013,0,0
42,3,5,28000,5,7,12,1,2,2,2,2,2,392.2,26,1,723,3097,1,528205,11952,154808,528205,11952,0,0
43,2,3,3750,2,1,1,1,1,2,2,2,2,508.07,14,1,5739,665,1,244267,3865,23576,80441,2405,0,0
44,4,9,5000,2,4,5,1,2,2,2,2,2,1567.79,59,2,1151,1248,1,122951,6000,36035,122951,6000,1,0
45,3,5,2400,2,3,14,1,1,2,2,2,2,1769.43,25,2,3022,1331,1,588756,9600,69364,236670,6000,1,0
47,3,5,100001,7,7,2,1,2,2,1,2,2,222.04,24,2,3736,1071,1,11449949,162516,3355788,11449949,162516,0,0
48,4,8,250000,8,6,8,1,1,1,2,1,2,14.75,37,1,6689,567,1,83798160,1123402,4302907,14681519,312710,0,0
49,2,4,3250,2,7,2,1,1,2,2,2,2,661.9,17,2,8832,642,1,166164,2789,41176,140493,2441,0,0
50,1,2,1000000,9,5,2,1,1,2,2,1,1,3.19,90,2,5171,802,1,186013286,6579144,37360928,127475486,6048345,0,0
52,3,5,41000,5,8,12,1,2,2,2,2,2,406.52,26,1,617,4320,1,452363,18481,132580,452363,18481,0,0
53,2,4,4100,2,7,13,1,2,2,1,2,2,2447.55,19,1,5894,1087,1,33165,808,9720,33165,808,0,0
54,2,3,180000,7,7,18,1,1,2,2,2,2,116.76,13,2,6097,583,1,17176350,221812,2732843,9324460,167954,1,1
55,2,3,15000,4,4,25,1,1,2,2,2,2,864.37,16,2,6467,629,1,2411718,29826,198012,675617,17563,1,0
56,2,4,35500,5,5,14,1,1,2,2,1,2,720.92,17,2,7628,562,1,6843652,80021,359502,1226621,13862,0,0
57,3,5,8000,3,6,23,1,1,2, ,2,2,343.4,25,2,2915,1333,1,781188,22811,202060,689429,21862,0,0
59,3,5,29000,5,7,14,1,2,2,2,2,2,460.92,26,1,658,3965,1,790827,18898,231778,790827,18898,1,1
60,4,8,172000,7,4,25,1,1,2,2,2,2,83.77,38,1,5918,749,1,16671136,253203,4457525,15209075,245729,1,1
61,2,3,1600,2,7,15,1,1,2,2,2,2,1701.91,12,1,6512,601,1,1318891,19448,175903,600181,13654,0,0
62,1,2,450000,8,2,16,1,1,2,2,2,2,5.83,9,2,4360,1237,1,45905521,581031,4420409,15082436,340543,1,1
63,2,3,4000,2,8,8,1,1,2,2,2,2,2724.37,11,2,7826,372,1,146464,3058,30507,104090,2615,0,0
65,3,5,12000,4,4,14,1,2,2,2,2,2,1769.43,25,1,2298,2067,1,538523,12341,157832,538523,12341,0,0
66,2,4,102000,7,4,14,1,1,1,2,2,2,132.13,17,1,7525,819,1,4014144,61251,937945,3200268,55826,1,1
67,3,7,1550,2,6,14,1,2,2,2,2,2,1945.16,36,2,1579,2826,1,78677,1612,23059,78677,1612,0,0
68,2,4,28000,5,8,26,1,1,2,2,2,2,864.37,20,2,3610,1619,1,2347565,35932,517216,1764741,32053,0,0
69,1,2,400000,8,2,2,1,2,1,2,2,2,46.81,82,1,5803,781,1,53036941,587068,5788787,19751341,346865,0,0
71,3,6,23500,4,4,25,1,1,2,2,2,2,297.78,31,2,2686,1794,1,1100681,21434,213206,727459,16204,0,0
72,2,3,77000,6,3,14,1,1,2,2,2,2,188.03,13,1,6071,703,1,6285554,73750,677360,2311152,44276,0,0
73,4,8,7200,3,7,2,1,1,2,2,2,2,781.6,37,1,8838,557,1,320562,4730,45121,153953,3274,1,1
74,3,5,2200,2,5,15,1,2,2,2,2,2,1446.07,25,1,2273,2068,1,387944,8554,113700,387944,8554,0,0
75,1,1,900000,9,8,2,1,1,1,2,1,2,46.81,79,1,5596,799,1,93030182,2768136,16628620,56736851,2096878,0,0
76,2,3,116000,7,6,2,1,1,2,2,2,2,77.89,16,1,5734,823,1,8391260,139092,2054220,7008999,125922,0,0
77,4,8,20000,4,4,18,1,1,2,2,2,2,781.6,38,1,4805,1107,1,1601205,11507,65347,222964,3553,0,0
78,3,6,91000,6,5,18,1,1,2,2,2,2,313.39,30,2,3378,1633,1,3145331,60102,612000,2088144,46872,0,0
79,3,5,310000,8,6,2,1,1,1,2,2,2,70.71,28,1,529,3819,1,18257146,423854,5009502,17092421,419687,0,0
81,2,3,67000,6,4,17,1,1,1,2,2,2,214.9,14,2,5100,984,1,11568385,97496,1245431,4249411,85371,0,0
82,1,2,16000,4,6,2,1,1,2,2,2,2,406.42,9,1,6334,728,1,873614,11941,54223,185009,6361,0,0
84,1,1,66000,6,4,23,1,1,2, ,2,2,406.42,2,2,6451,424,1,4865598,102552,814224,2778132,79548,1,1
85,3,5,13500,4,6,14,1,2,2,2,2,2,734.43,22,1,3520,1583,1,333202,9180,97656,333202,9180,0,0
86,2,4,8800,3,5,5,1,1,2,2,2,2,864.37,20,1,4928,1615,1,166974,3149,21440,73153,2384,0,0
87,3,6,68000,6,8,11,1,1,2,2,2,2,377.81,29,2,4193,1095,1,9694514,167645,2791200,9523574,166163,0,0
89,4,8,430000,8,8,16,1,1,1,2,2,2,14.75,37,1,8725,481,1,148943044,1295555,16117860,54994138,1036378,0,0
90,1,2,18000,4,7,5,1,1,2,2,2,2,140.65,4,2,7978,468,1,933438,17608,73358,250297,11714,1,1
91,4,9,54000,6,4,14,1,1,2,2,2,2,243.77,55,1,4373,262,1,5648259,83961,746335,2546495,63241,0,0
92,3,5,1050,2,4,2,1,2,1,2,2,2,2605.72,21,1,4463,1282,1,101187,1966,13397,45711,1411,1,1
93,3,5,6000,3,5,26,1,2,1,2,2,2,2314.83,25,1,2535,1905,1,223992,3834,21505,73375,2369,0,0
94,2,3,104000,7,4,2,1,1,1,2,2,2,86.27,16,1,5292,813,1,18963248,326011,4547562,15516282,298191,1,0
95,2,4,275000,8,7,16,1,1,1,2,2,2,12.29,19,2,4488,2028,1,65507912,617053,9526099,32503050,409121,0,0
96,1,1,36000,5,1,1,1,1,1,2,2,2,411.91,3,2,7081,424,1,1784334,24133,79040,269684,10493,0,0
98,2,3,1650,2,4,2,1,1,2,2,2,2,1701.91,15,2,5769,635,1,186518,2723,9763,33311,1639,0,0
99,4,8,136000,7,7,23,1,1,2, ,2,2,87.5,46,2,1777,3914,1,14094444,333797,3371767,11504469,315906,0,0
100,3,6,3350,2,5,15,1,2,2,1,2,2,1591,29,1,4544,1316,1,57165,1616,16754,57165,1616,0,0
101,1,2,1500,2,2,6,1,1,2,2,2,2,1711.45,6,2,5292,1009,1,1188423,16111,179757,613331,8687,0,0
102,2,3,1200,2,7,15,1,2,2,2,2,2,1337.85,13,1,6755,654,1,15613,198,4576,15613,198,0,0
103,2,4,4000,2,1,26,1,2,2,1,2,2,776.54,19,1,4746,1182,1,152704,3272,44755,152704,3272,1,1
105,1,2,1600,2,7,6,1,2,2,1,2,2,1390.68,4,1,5868,348,1,336976,15482,98762,336976,15482,1,1
106,2,4,5000,2,6,2,1,1,2,2,2,2,2724.37,18,2,5483,960,1,402167,6495,44381,151428,4515,0,0
107,2,4,4000,2,6,12,1,2,2,1,2,2,2724.37,19,1,5167,1116,1,69803,1919,20458,69803,1919,0,0
108,3,7,65000,6,6,2,1,1,2,2,2,2,70.76,36,1,2949,2302,1,2241722,49746,521549,1779525,45443,0,1
109,3,6,2000,2,8,12,1,2,2,1,2,2,734.43,31,2,3418,1356,1,23765,770,6965,23765,770,1,1
111,3,6,53000,6,8,26,1,2,2,1,2,2,297.78,31,2,3122,1821,1,4346427,81527,1273865,4346427,81527,0,0
112,2,3,21000,4,5,13,1,1,2,2,2,2,776.54,13,2,5375,776,1,3976790,53146,454920,1552187,31770,0,0
113,1,2,20000,4,5,2,1,1,2,2,2,2,2739.65,10,2,6560,1009,1,527530,10960,68462,233592,7547,0,0
116,3,5,15000,4,7,5,1,1,2,2,2,2,2546.83,21,1,4698,1217,1,184282,4782,45670,155826,4221,1,1
117,4,8,280000,8,5,5,1,1,2,2,2,2,33.69,38,1,4058,850,1,19109690,191291,2154978,7352785,124357,1,1
118,3,7,12500,4,6,12,1,2,2,2,2,2,2546.83,32,1,2858,1701,1,116387,2596,34111,116387,2596,1,0
119,1,2,23000,4,5,25,1,2,2,2,2,2,2463.5,7,2,5239,634,1,748866,20431,219480,748866,20431,0,0
121,3,5,6500,3,5,1,2,2,2,2,2,2,734.43,25,1,3137,1535,2,                  ,          ,               ,                  ,          ,9,9
123,3,7,27500,5,7,26,1,2,2,2,2,2,377.5,34,2,1213,3380,1,596776,15837,174905,596776,15837,1,1
126,2,4,110000,7,5,5,1,1,2,2,2,2,361.04,17,2,9290,558,1,6593546,56371,551637,1882185,27582,0,0
131,3,5,36000,5,7,2,1,1,2,2,2,2,734.43,23,2,3874,1024,1,3400013,45337,550244,1877433,33241,0,0
132,4,9,6100,3,4,26,1,1,2,2,2,2,944.4,41,2,1735,2231,1,389277,12124,81396,277723,11013,0,0
133,1,1,42000,5,7,2,1,2,1,2,2,2,82.18,1,1,7470,303,1,1521723,25118,198851,678480,17866,1,0
134,4,9,10750,4,3,14,1,1,2,2,2,2,446.21,43,2,5472,1123,1,936367,7673,123772,422310,3084,0,0
135,3,7,6000,3,6,91,1,2,2,2,2,2,818.54,34,2,1525,3049,1,14293,658,4189,14293,658,0,0
136,3,7,158000,7,8,2,1,2,1,2,2,2,74.65,57,1,2307,2751,1,19306604,305709,5642183,19251128,305154,0,0
137,2,3,28500,5,7,12,1,1,2,2,2,2,876.06,13,2,6252,610,1,979259,15373,131901,450046,11049,1,1
138,3,7,5000,2,1,18,1,1,2,2,2,2,419.28,32,2,2943,2183,1,361633,4515,33589,114606,2425,1,1
139,3,5,136000,7,7,14,1,1,1,2,2,2,144.29,22,2,4787,1203,1,17977087,279116,3101196,10581281,221607,0,0
140,1,2,94000,6,4,14,1,1,2,2,2,2,132.45,8,2,4992,1156,1,4731199,76724,419000,1429628,49381,0,0
141,3,5,2250,2,8,5,1,2,2,2,2,2,745.49,28,2,571,3577,1,21472,693,6293,21472,693,1,1
142,2,3,17000,4,1,12,1,1,2,2,2,2,404.15,14,1,6486,615,1,2342591,19580,136929,467202,6727,0,0
143,1,2,200001,8,5,14,1,1,1,2,2,1,39.92,5,2,8501,427,1,61661341,817271,1348544,4601232,163325,1,1
144,4,9,61000,6,3,16,1,1,1,2,2,2,140.65,43,1,4501,1086,1,20373677,216547,2170846,7406927,126744,0,0
145,3,6,16000,4,6,4,1,1,2,2,2,2,1446.07,30,1,3846,1139,1,14793432,172883,1530160,5220906,89131,0,0
146,3,5,9000,3,4,15,1,1,2,2,2,2,528.24,27,2,1518,2367,1,2056363,31588,224914,767407,18356,1,1
147,3,5,148000,7,5,23,1,1,2, ,2,2,77.4,21,2,5136,814,1,11551825,341475,2713109,9257128,322310,0,0
149,3,5,108000,7,2,1,1,2,2,2,2,2,678.14,23,2,3265,1360,1,122494,3088,35901,122494,3088,1,1
150,3,7,10000,3,6,91,1,1,2,2,2,2,807.37,36,2,1546,3479,1,86148,1948,19870,67796,1742,0,0
151,4,8,180000,7,5,23,1,1,2, ,2,2,72.41,39,1,5372,674,1,16721063,294097,3610765,12319930,263228,1,1
152,3,5,13500,4,7,5,1,2,2,2,2,2,807.37,26,1,882,3479,1,505191,12671,148063,505191,12671,0,0
153,3,5,11250,4,6,12,1,1,2,2,2,2,807.37,26,2,1418,2941,1,373413,8206,89800,306398,7293,0,0
154,4,8,6700,3,8,23,1,2,2, ,2,2,3391.93,37,1,6872,626,1,346666,9893,101602,346666,9893,0,0
156,2,4,3500,2,5,12,1,1,2,2,2,2,2447.55,19,2,5949,1335,1,170812,2555,17851,60908,1622,1,1
157,2,3,1650,2,3,25,1,1,2,2,2,2,2724.37,14,1,5935,787,1,173678,1864,12587,42947,844,0,0
158,3,5,92000,6,7,14,1,1,1,2,2,2,133.87,21,1,3948,1238,1,6602259,97486,749372,2556857,67676,0,0
159,3,5,9000,3,8,23,1,1,1, ,2,2,102.54,22,1,3226,1622,1,572803,10365,161129,549772,10172,1,1
160,3,7,65000,6,7,5,1,2,2,2,2,2,155.65,34,1,879,4318,1,597407,15853,175090,597407,15853,1,1
161,2,3,150000,7,4,11,1,1,2,2,2,2,80.08,60,2,6091,605,1,14252833,262000,3739605,12759532,250000,1,0
162,3,6,100000,6,5,14,1,1,2,2,2,2,246.38,29,1,4170,1118,1,5890636,90189,1007315,3436959,69324,0,0
163,2,4,9700,3,6,6,1,1,2,2,2,2,2724.37,18,2,5984,974,1,1870852,36591,492958,1681973,35000,0,0
164,3,7,116000,7,5,23,1,1,2, ,2,2,96.19,33,2,3281,1904,1,12979038,205219,3363497,11476252,193670,1,1
165,4,9,7900,3,5,25,1,1,2,2,2,2,950.84,40,1,2541,681,1,193778,7914,48000,163776,7500,0,0
166,2,3,1600000,10,4,24,1,1,2, ,2,2,25.66,85,1,5541,891,1,117445135,2885616,23319518,79566195,2516899,1,1
167,3,5,33000,5,5,25,1,2,2,2,2,2,528.95,25,1,3128,1833,1,1851761,44246,542720,1851761,44246,0,0
168,1,2,31000,5,5,23,1,1,1, ,2,2,410.56,6,1,5077,888,1,3802825,107946,604374,2062124,87200,0,0
169,3,7,30500,5,4,18,1,1,2,2,2,2,364.2,57,2,2132,2680,1,1668683,19945,299180,1020802,14959,0,0
171,3,5,6000,3,7,15,1,1,2,2,2,2,528.67,21,1,5173,1021,1,598814,13058,94914,323847,10435,0,0
172,3,7,21500,4,8,5,1,2,2,2,2,2,1164.83,34,1,804,4412,1,325594,8922,95426,325594,8922,1,1
173,2,3,116000,7,5,23,1,1,2, ,2,2,105.79,13,2,4728,642,1,15462037,230196,2999124,10233011,195331,1,1
175,4,8,4800,2,2,25,1,1,2,2,2,2,2739.65,38,2,6417,715,1,217636,2426,14411,49170,1311,0,0
176,2,3,132000,7,5,8,1,1,1,2,2,2,126.28,14,2,5344,968,1,34037731,445162,4786742,16332364,315925,0,0
177,4,9,10250,4,4,14,1,1,2,2,2,2,456.4,62,2,1187,726,1,508192,12903,66541,227038,10419,1,1
178,3,5,1300,2,6,15,1,2,2,1,2,2,1591,21,1,4076,1475,1,252382,6561,73969,252382,6561,1,1
179,1,1,18000,4,5,5,1,2,2,1,2,2,2463.5,1,1,7655,425,1,61416,2200,18000,61416,2200,0,0
181,3,5,2900,2,7,2,1,2,2,2,2,2,2314.83,25,1,2104,1955,1,35171,982,10308,35171,982,0,0
182,4,8,80000,6,6,8,1,2,2,2,2,2,80.53,38,2,5866,536,1,6791641,129000,1990516,6791641,129000,1,0
183,4,8,36000,5,3,14,1,1,2,2,2,2,360.63,38,1,5279,779,1,4367063,37686,315360,1076008,26047,0,0
184,2,3,30000,5,5,5,1,1,2,2,2,2,872.07,12,2,6532,676,1,1724577,19649,113290,386545,9909,0,0
186,2,4,8600,3,2,5,1,2,2,2,2,2,776.54,17,2,8051,792,1,26597,348,7795,26597,348,0,0
187,2,4,2500,2,3,1,1,2,2,2,2,2,3110.9,17,1,7006,669,1,3760,104,1102,3760,104,1,0
188,2,4,1600,2,8,26,1,2,2,2,2,2,3110.9,17,2,9043,548,1,1488,29,436,1488,29,0,0
190,1,2,10250,4,1,15,1,1,2,2,2,2,165.84,10,1,5845,507,1,4951672,72871,229523,783132,32789,0,0
191,3,5,225000,8,4,2,1,1,2,2,2,2,39.55,23,2,3379,1359,1,9281413,133595,1425826,4864918,97265,0,0
192,3,6,66000,6,7,14,1,1,2,2,2,2,393.15,29,1,4301,1098,1,4276272,68915,805852,2749567,55758,0,0
193,3,5,4200,2,7,15,1,1,2,2,2,2,1446.07,22,1,3500,1484,1,1764575,33165,366355,1250003,28222,0,0
194,3,7,81000,6,8,2,1,1,1,2,2,2,190.78,49,1,1103,2999,1,9252211,126307,1816337,6197342,106055,0,0
195,1,2,1500,2,3,15,1,1,1,2,2,2,2739.65,6,2,5039,1106,1,664466,17316,75431,257371,12568,0,0
196,4,9,54000,6,7,23,1,1,2, ,2,2,444.58,41,1,1371,1774,1,10353227,307075,2449298,8357005,290593,1,1
197,2,3,44000,5,2,13,1,1,2,2,2,2,72.3,11,1,6114,686,1,4450935,58300,400919,1367936,35588,0,0
198,3,7,4800,2,7,91,1,1,2,2,2,2,734.43,32,2,3809,1860,1,213129,2539,24633,84048,1448,0,0
199,3,7,100000,6,5,12,1,1,2,2,2,2,72.27,49,1,1340,3582,1,2497833,60093,729142,2487833,60000,1,0
200,3,5,16750,4,3,14,1,1,2,2,2,2,331.3,25,2,3741,1298,1,1976771,47145,465743,1589115,42872,0,0
201,3,7,6000,3,8,2,1,2,2,2,2,2,528.24,49,2,1470,2561,1,257135,7500,75362,257135,7500,1,0
202,2,3,320000,8,7,16,1,1,1,2,2,2,7.56,15,1,6201,580,1,95188986,885228,8933891,30482436,522558,1,1
203,3,7,8000,3,7,5,1,1,2,2,2,2,2314.83,33,1,3105,1938,1,310977,3040,15600,53227,1680,0,0
204,2,3,17250,4,5,17,1,1,1,2,2,2,214.9,14,1,6597,652,1,2984619,40024,640258,2184560,33509,0,0
205,3,5,104000,7,8,14,1,1,2,2,2,2,195.44,25,2,3392,1516,1,5375477,54143,1119852,3820935,39198,0,0
206,2,4,60000,6,6,23,1,1,1, ,2,2,80.08,17,2,8944,574,1,7085653,78059,1421540,4850294,68190,1,1
207,2,3,22000,4,7,26,1,1,2,2,2,2,776.54,13,2,6146,626,1,1001544,14065,106584,363665,9194,0,0
211,3,5,150000,7,6,2,1,2,1,2,2,2,80.65,23,1,4554,1252,1,9777813,184298,2860632,9760476,184073,1,1
212,2,3,54000,6,7,1,1,2,2,2,2,2,199.06,16,2,6912,501,1,212803,5628,62369,212803,5628,1,1
213,3,5,320000,8,7,1,1,2,2,2,2,2,17.67,73,1,271,4306,1,20558740,354746,6025422,20558740,354746,1,1
214,2,3,21750,4,3,23,1,1,2, ,2,2,53.77,13,1,5915,988,1,1451691,26260,241536,824121,20764,0,0
215,3,5,42000,5,8,18,1,1,2,2,2,2,246.38,21,1,3907,1329,1,4223530,81823,767943,2620222,61646,0,0
216,4,9,55000,6,8,5,1,2,2,2,2,2,242.54,41,1,1870,1598,1,731144,36000,214286,731144,36000,0,0
217,2,4,2800,2,5,7,1,1,2,2,2,2,1697.96,17,1,8593,605,1,274763,2539,15562,53098,699,0,0
218,2,4,455000,8,5,16,1,1,1,1,2,2,20.73,18,1,6066,1383,1,106841726,821118,13018000,44417416,487748,0,0
219,3,5,74000,6,7,2,1,2,2,2,2,2,70.71,28,2,578,3832,1,5437425,108916,1593618,5437425,108916,0,0
220,3,5,7000,3,6,12,1,2,2,2,2,2,734.43,22,1,3421,1433,1,147255,4660,43158,147255,4660,0,0
223,4,8,800000,9,3,16,1,1,2,2,2,2,5.32,95,2,1380,4901,1,138751015,1254809,23165701,79041372,965238,0,0
224,4,9,44000,5,8,2,1,1,2,2,2,2,97.69,40,2,1997,1898,1,1937895,32268,528320,1802628,30914,0,0
227,4,8,215000,8,7,16,1,1,1,2,2,2,39.89,37,1,7118,450,1,40334654,304956,3151976,10754542,211268,0,0
228,3,6,385000,8,5,2,1,1,2,2,2,2,40.28,31,1,2085,2540,1,39971333,733030,11360000,38760320,723145,0,0
229,3,7,3600,2,8,26,1,2,2,1,2,2,2546.83,32,1,4340,1122,1,54565,1564,15992,54565,1564,0,0
230,3,5,74000,6,5,23,1,2,2, ,2,2,75.79,52,2,244,3680,1,5678517,144935,1664278,5678517,144935,1,1
231,3,5,2200,2,4,25,1,2,2,2,2,2,2544.74,26,2,1299,3063,1,150043,4076,43975,150043,4076,0,0
232,1,2,6000,3,7,26,1,1,2,2,2,2,406.42,63,1,7027,555,1,957248,9084,66799,227918,1911,0,0
233,2,3,132000,7,8,14,1,2,2,1,2,2,124.19,14,1,7062,551,1,918145,16255,269093,918145,16255,0,0
234,3,7,8700,3,2,1,2,2,2,2,2,2,1210.96,32,2,3328,1886,2,                  ,          ,               ,                  ,          ,9,9
235,3,5,10750,4,6,5,1,2,2,2,2,2,734.43,22,1,3292,1651,1,41295,1007,12103,41295,1007,1,1
236,3,6,3500,2,6,5,1,1,2,2,2,2,2314.83,29,1,3743,1216,1,121196,2481,18871,64388,1780,1,1
237,4,8,1500,2,2,26,1,1,2,2,2,2,2226.17,37,2,6053,383,1,140304,1837,13986,47720,1119,0,0
238,3,5,10000,3,3,12,1,1,2,2,2,2,1210.96,23,2,3335,1247,1,335470,5552,38461,131229,3284,1,1
239,1,2,10250,4,5,18,1,2,2,2,2,2,456.4,8,2,4329,1447,1,782382,19746,229303,782382,19746,0,0
241,3,5,4700,2,8,15,1,1,2,2,2,2,1446.07,56,1,3143,1620,1,1260917,18678,234756,800987,17975,0,0
242,2,4,13750,4,4,12,1,1,2,2,2,2,776.54,18,1,6514,812,1,341521,5831,39600,135115,4095,0,0
243,1,2,5000,2,6,2,1,2,2,2,2,2,2739.65,9,1,5931,724,1,409344,13009,119972,409344,13009,1,1
245,3,5,12000,4,8,2,1,2,2,2,2,2,807.37,26,1,632,3723,1,470689,11552,137951,470689,11552,0,0
246,3,5,12750,4,5,14,1,2,2,2,2,2,734.43,25,1,2466,1901,1,290006,7360,84996,290006,7360,1,0
247,4,9,255000,8,7,2,1,1,1,2,2,2,31.27,40,2,2359,2011,1,26047425,331132,3744525,12776319,230867,0,0
249,1,2,3850,2,3,13,1,2,1,2,2,2,1883.06,7,2,5975,555,1,225702,2523,5178,17667,498,0,0
251,4,8,5400,3,5,2,1,1,2,2,2,2,2463.5,38,1,4804,1192,1,270161,4972,52196,178093,3867,0,0
252,2,3,5100,3,1,91,1,1,2,2,2,2,780.38,11,1,5877,628,1,272886,3688,22687,77408,2019,0,0
253,1,1,64000,6,2,2,1,2,1,2,1,2,80.53,58,2,5822,807,1,11607777,258074,2019521,6890606,176872,0,0
254,4,8,3300,2,6,2,1,1,2,2,2,2,3391.93,39,1,4600,781,1,167790,4351,20712,70669,3538,0,0
255,3,6,1400,2,5,26,1,2,2,2,2,2,2314.83,30,2,3743,1412,1,80366,1908,23554,80366,1908,0,0
256,1,1,89000,6,1,2,1,1,2,2,2,2,221.72,3,2,7636,431,1,9392843,157745,1170880,3995043,103774,0,0
258,1,2,15000,4,5,8,1,1,2,2,2,2,568.7,5,2,6106,461,1,1720798,38950,295780,1009201,31874,0,0
259,4,9,13250,4,4,13,1,1,2,2,2,2,1926.09,40,1,2543,656,1,936549,28500,131138,447443,23841,0,0
260,4,9,106000,7,7,14,1,1,2,2,1,2,143.01,43,2,5427,588,1,20930644,250063,1606101,5480017,68707,0,0
261,3,5,5100,3,4,12,1,2,2,1,2,2,734.43,24,1,2508,1832,1,75395,2543,22097,75395,2543,0,0
263,3,7,31500,5,7,8,1,1,2,2,2,2,140.13,33,2,2835,2555,1,2468491,44151,569881,1944434,40046,0,0
264,3,7,2850,2,5,15,1,1,2,2,2,2,1589.69,36,1,2258,2881,1,2650453,46237,414805,1415315,36000,1,0
265,3,7,72000,6,7,5,1,2,2,2,2,2,190.78,36,1,1815,2768,1,167400,5100,49062,167400,5100,1,0
