PUBID8   ,REGION8  ,CENDIV8  ,SQFT8    ,SQFTC8   ,YRCONC8  ,PBA8     ,ELUSED8  ,NGUSED8  ,FKUSED8  ,PRUSED8  ,STUSED8  ,HWUSED8  ,ADJWT8   ,STRATUM8 ,PAIR8    ,MFHTBTU8 ,MFCLBTU8 ,MFVNBTU8 ,MFWTBTU8 ,MFLTBTU8 ,MFCKBTU8 ,MFRFBTU8 ,MFOFBTU8 ,MFPCBTU8 ,MFMSBTU8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
1679,2,3,18000,4,7,25,1,1,2,2,2,2,864.37,14,1,140113,16343,31178,3675,263297,0,12187,10200,5984,49467
1680,3,6,1300,2,7,25,1,1,2,2,2,2,2314.83,29,1,149629,3658,522,8114,6373,0,7777,130,0,2280
1681,2,4,35000,5,5,18,1,1,2,2,2,2,402.35,19,2,500135,68989,13616,407248,178889,0,8708,3808,1250,72788
1682,1,2,1450,2,2,2,1,1,2,2,2,2,2739.65,5,1,132783,7002,2317,4649,14921,0,14538,2404,3332,6690
1684,3,5,11750,4,5,26,1,1,2,1,2,2,343.4,22,1,284623,39717,34363,18455,484116,0,0,7985,37232,105589
1686,2,3,15000,4,7,13,1,1,2,2,2,2,62.95,13,1,407412,21510,111078,3029,96760,4113,42729,5418,16016,49488
1688,3,5,136000,7,6,23,1,2,2, ,2,2,190.78,27,1,0,4964957,1535630,0,4760131,0,775310,129012,183701,1748504
1690,3,5,5000,2,6,2,1,2,2,2,2,2,2546.83,21,2,23849,17564,1710,2576,36460,0,0,44554,28658,15229
1692,3,7,1350,2,6,5,1,2,2,2,2,2,3503.79,36,2,0,0,0,0,154707,0,0,0,0,8114
1693,3,5,68000,6,1,14,1,1,2,2,2,2,115.1,22,2,5201247,1904747,1392475,338316,5345615,0,0,960,143389,633360
1694,1,2,75000,6,7,5,1,2,2,1,2,2,235.39,7,1,0,0,39779,0,364969,0,0,18,1534,80364
1696,2,3,18750,4,4,23,1,1,2, ,2,2,864.37,16,1,582032,81187,110618,135454,540519,19904,88038,14649,20860,153099
1697,4,9,4800,2,7,14,1,2,2,2,2,2,1926.09,41,1,3330,47393,21430,0,101826,0,0,0,38186,20038
1698,2,3,210000,8,3,4,1,2,2,2,1,2,38.86,16,2,30243163,0,2495940,427837,6177036,0,866449,251181,544711,3512275
1699,1,2,45500,5,1,1,1,1,2,2,2,2,247.07,51,2,1497941,43539,17777,613,398341,85565,208887,6869,52925,1565907
1700,4,9,1100,2,6,2,1,2,2,2,2,2,622.11,42,1,3986,4629,1386,0,36974,0,0,2250,7041,3761
1701,2,3,30000,5,2,1,1,2,2,2,2,2,688.66,13,1,0,0,0,22,14813,0,0,0,0,58406
1702,3,5,350000,8,4,16,1,1,2,2,2,2,11.63,23,2,7784080,6684196,3770308,17003030,12193268,640972,73110,114548,226366,6217706
1703,1,2,140000,7,6,14,1,1,1,2,1,2,137.78,5,1,19435547,0,2834782,778171,3459377,244383,339060,22810,185729,1016891
1704,3,5,12000,4,8,5,1,1,2,2,2,2,187.34,24,1,110506,12721,3179,983,144437,0,33237,4699,1603,19877
1705,1,2,46000,5,3,2,1,1,1,2,2,2,360.63,6,1,1071230,220999,205368,13277,630331,0,134965,53524,112069,281490
1706,1,2,38500,5,2,2,1,2,2,2,2,2,80.53,8,1,385591,133279,168167,15087,770614,0,0,31004,24915,183128
1707,2,3,18000,4,1,14,1,2,1,2,2,2,776.54,14,1,244647,14823,0,56009,33685,4395,40207,2007,1142,12940
1708,3,5,32500,5,3,2,1,2,2,2,2,2,807.37,27,2,37200,341287,60506,0,254190,0,8420,18053,29950,86853
1709,4,9,14250,4,4,23,1,1,2, ,2,2,950.84,62,1,100564,158756,102370,121041,524325,0,0,14211,20235,156046
1710,4,9,3000,2,6,13,1,2,2,1,2,2,2226.17,40,2,0,1882,3940,235,2457,0,8866,0,0,6161
1711,2,3,28500,5,1,7,1,1,2,2,2,2,214.9,13,2,4646614,45688,118170,73975,134729,0,8778,15874,17081,115903
1713,1,2,280000,8,3,14,1,1,1,2,2,2,129.49,7,2,7443575,946443,586292,869982,2785170,106195,151680,35591,119370,340422
1714,2,3,2500,2,1,25,1,1,2,2,2,2,73.78,11,1,344422,1656,1319,4572,24890,0,7768,1251,382,4379
1715,3,5,1200,2,8,2,1,2,2,2,2,2,807.37,52,1,0,17793,1010,0,30131,0,0,5117,1832,4305
1716,2,4,29500,5,8,14,1,2,2,2,2,2,317.92,20,1,616144,432182,318529,118933,342549,20231,80667,48884,215182,59568
1717,2,3,1100,2,7,5,2,2,2,2,2,2,3110.9,11,2,                  ,                  ,0,                  ,0,                  ,0,0,0,                  
1718,4,9,8200,3,5,23,1,2,2, ,2,2,2226.17,40,2,401181,26128,47179,156478,456707,16818,74387,12378,17625,125360
1719,2,3,35000,5,8,18,1,2,2,2,1,2,163.75,104,1,1835026,0,150986,3631308,949089,143667,405556,9494,348414,169501
1720,3,5,114000,7,2,8,1,1,2,2,2,2,308.22,22,2,1472784,164916,144344,12744,647062,0,85482,16417,24581,376225
1721,2,4,2800,2,8,12,1,2,2,1,2,2,2447.55,17,1,0,5027,1097,200,5281,0,0,0,0,20351
1722,2,4,3100,2,5,2,1,2,2,2,2,2,364.88,18,2,0,5863,2997,0,9076,0,0,1490,2554,7453
1724,3,7,9000,3,7,12,1,1,2,2,2,2,187.34,32,1,421414,65974,11730,41914,50482,0,62994,9197,8428,87551
1726,2,3,220000,8,6,7,1,1,1,2,2,1,59.69,11,1,6311024,1579978,4855096,5309929,5728551,970807,332999,113692,131525,2827959
1727,3,7,3600,2,4,25,1,2,2,2,2,2,706.45,34,1,982,12555,7128,0,286892,0,47072,8515,2907,20170
1728,3,5,8200,3,2,1,2,2,2,2,2,2,1992.34,25,1,                  ,                  ,0,                  ,0,                  ,0,0,0,                  
