PUBID8   ,REGION8  ,CENDIV8  ,SQFT8    ,SQFTC8   ,YRCONC8  ,PBA8     ,ELUSED8  ,NGUSED8  ,FKUSED8  ,PRUSED8  ,STUSED8  ,HWUSED8  ,ADJWT8   ,STRATUM8 ,PAIR8    ,MFHTBTU8 ,MFCLBTU8 ,MFVNBTU8 ,MFWTBTU8 ,MFLTBTU8 ,MFCKBTU8 ,MFRFBTU8 ,MFOFBTU8 ,MFPCBTU8 ,MFMSBTU8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
1,3,5,14000,4,8,5,1,1,2,2,2,2,734.43,23,2,251667,15549,8458,6724,133747,0,12634,7914,3266,13223
3,3,5,190000,7,4,2,1,2,1,2,2,2,80.65,23,1,2241929,2332453,1077319,354974,7092965,0,301380,669302,3099250,1886745
5,4,9,25000,4,5,12,1,1,2,2,2,2,950.84,62,2,54041,6443,11670,0,14199,0,0,0,0,48666
6,3,6,55000,6,4,2,1,2,2,2,1,2,274.46,29,2,1921342,333340,386764,56689,935010,0,133579,463295,125277,420019
8,1,2,19000,4,4,14,1,2,1,2,2,2,446.21,7,1,1184955,42863,116447,60065,173002,9685,23984,2696,46900,28517
9,4,8,110000,7,5,14,1,2,2,2,1,2,22.68,107,2,2748092,0,4641961,2285908,2609946,0,330402,21415,674165,873133
10,3,5,600000,9,1,16,1,1,1,2,1,2,18.98,25,2,28941727,7075144,9243281,414000,17432232,1775091,241523,31210,225041,22601735
11,2,3,6300,3,4,18,1,1,2,2,2,2,352.05,13,1,179858,25301,8175,186663,114291,0,24910,77,0,37480
12,3,5,18000,4,6,2,1,2,2,2,2,2,808.04,21,2,129342,108139,35781,23170,358565,0,0,127042,166949,188327
13,2,4,4800,2,5,15,1,1,2,2,2,2,1528.98,17,1,509427,35281,54043,99469,144210,288332,226033,8158,12133,49850
14,1,2,65000,6,5,2,1,1,2,2,2,2,221.72,8,1,556740,342978,342123,83211,767767,0,130929,187399,190889,450176
15,4,8,14250,4,4,18,1,1,2,2,2,2,446.21,39,1,440878,0,10670,702386,60091,41483,10236,0,12622,27867
16,2,3,20000,4,5,23,1,1,2, ,2,2,864.37,12,1,1554025,93474,151568,170116,732201,383017,119258,19845,28257,205837
17,1,1,164000,7,5,14,1,2,1,1,2,2,137.78,3,1,8887830,261471,1314978,594132,2112876,57419,123548,63043,286726,692513
18,4,8,2050,2,2,23,1,1,2, ,2,2,742.06,37,2,148762,9077,8453,19110,77176,0,12570,2092,2978,21623
19,2,3,106000,7,7,5,1,1,2,2,2,2,38.21,12,1,3905173,881919,159056,175354,2186414,0,188276,84008,270259,514458
20,1,2,148000,7,3,14,1,1,2,2,2,2,137.73,7,1,9202457,71250,727770,968376,2102840,191750,86110,24840,270027,2719856
21,2,3,12500,4,6,12,1,2,2,2,2,2,2724.37,13,2,57701,9698,3718,71,15471,0,0,3378,830,62025
22,3,5,3350,2,8,26,1,2,2,1,2,2,2546.83,21,1,12084,8347,8142,149,20397,0,0,0,779,37435
23,2,3,15250,4,8,23,1,1,2, ,2,2,192.92,13,1,428637,59366,84740,213997,414072,644210,67442,11222,15980,117017
24,2,4,12750,4,3,2,1,1,2,2,2,2,402.35,19,2,724795,95098,35749,25773,186383,0,49819,20634,54685,67200
25,3,5,17500,4,6,12,1,1,2,2,2,2,734.43,23,2,1115793,85872,28110,27087,32158,11240,66734,4736,2187,135257
26,4,9,106000,7,7,25,1,1,2,2,2,2,97.97,40,1,292962,1061191,781704,23800,2941209,122655,281754,26241,23949,1059960
27,3,5,74000,6,6,14,1,1,2,2,2,2,223.94,56,1,1377352,756872,1130666,1170665,883765,238840,419189,19165,273438,182953
28,3,7,1550,2,7,14,1,2,2,2,2,2,1702.02,34,1,2517,26093,0,0,5366,0,0,0,4064,1465
29,3,7,13500,4,7,13,1,1,2,2,2,2,808.04,32,1,446737,2711,16152,0,43488,0,2856,0,0,17860
30,1,2,37000,5,2,5,1,1,2,2,2,2,813.44,51,2,1164515,5737,29135,1402,118913,0,9880,1898,1430,54657
31,3,5,310000,8,6,18,1,1,2,2,2,2,124.18,24,1,1490137,1664031,366360,6103258,18677196,1140123,290746,96655,158359,2359766
34,4,8,12000,4,3,5,1,1,2,2,2,2,80.53,37,1,1030535,0,22690,19230,141807,0,20452,8388,8182,36694
35,3,6,8000,3,6,12,1,1,2,2,2,2,2314.83,30,1,35404,16381,1982,3066,43101,0,11346,2139,1157,42050
36,1,2,15000,4,3,2,1,1,2,2,2,2,869.22,6,1,241943,49507,41507,8074,244744,0,82600,36421,32425,65540
37,3,7,1500000,10,5,24,1,1,1, ,2,2,70.96,57,1,5958588,31308173,9862572,10474608,31018329,4224152,4979427,828577,1179821,11495165
39,4,9,600000,9,6,18,1,1,1,2,2,2,135.43,47,1,1378758,1285872,762482,19154191,9241218,5106886,281221,77835,811671,5686343
40,4,9,260000,8,2,2,1,2,2,2,1,2,82.18,55,2,34470647,64167,455557,1529353,2886931,0,20646,35490,314464,567888
41,1,2,4000,2,2,2,1,1,2,2,2,2,2463.5,7,1,132667,2260,937,627,23000,0,0,24,758,3883
42,3,5,28000,5,7,12,1,2,2,2,2,2,392.2,26,1,0,127543,52318,14240,200961,0,0,3090,1842,128211
43,2,3,3750,2,1,1,1,1,2,2,2,2,508.07,14,1,156865,1367,260,23,14979,7404,51424,165,613,11167
44,4,9,5000,2,4,5,1,2,2,2,2,2,1567.79,59,2,161,4165,6249,5521,54364,0,12350,4972,25935,9233
45,3,5,2400,2,3,14,1,1,2,2,2,2,1769.43,25,2,208874,97429,24725,143212,62607,3331,32655,0,6115,9809
47,3,5,100001,7,7,2,1,2,2,1,2,2,222.04,24,2,581813,973625,392971,115709,1653413,0,86698,5263912,1693891,687917
48,4,8,250000,8,6,8,1,1,1,2,1,2,14.75,37,1,65668007,529859,1778562,2112450,8531033,1382886,510314,229914,550194,2504943
49,2,4,3250,2,7,2,1,1,2,2,2,2,661.9,17,2,36993,9584,7234,1490,46402,0,17442,20168,8861,17991
50,1,2,1000000,9,5,2,1,1,2,2,1,1,3.19,90,2,26282724,3138284,13126428,8081309,37324861,29692800,1402089,18738722,39829865,8396204
52,3,5,41000,5,8,12,1,2,2,2,2,2,406.52,26,1,4851,244354,22850,2820,38778,0,6517,3374,5035,123783
53,2,4,4100,2,7,13,1,2,2,1,2,2,2447.55,19,1,0,5253,4471,90,4541,0,13526,0,146,5138
54,2,3,180000,7,7,18,1,1,2,2,2,2,116.76,13,2,3733997,455586,107733,4292191,6223272,1255552,84944,30066,19238,973771
55,2,3,15000,4,4,25,1,1,2,2,2,2,864.37,16,2,1720843,53017,58812,15258,435253,0,28985,1514,0,98036
56,2,4,35500,5,5,14,1,1,2,2,1,2,720.92,17,2,4788337,77433,414368,827663,304660,0,58621,101055,138204,133310
57,3,5,8000,3,6,23,1,1,2, ,2,2,343.4,25,2,192090,77074,28287,56290,273829,10084,44600,7421,10568,80945
59,3,5,29000,5,7,14,1,2,2,2,2,2,460.92,26,1,0,458874,153246,83513,61976,0,6608,1373,1250,23986
60,4,8,172000,7,4,25,1,1,2,2,2,2,83.77,38,1,1422236,1021562,3679894,39825,7791454,0,200734,151625,325593,2038213
61,2,3,1600,2,7,15,1,1,2,2,2,2,1701.91,12,1,164571,31956,57590,424627,130668,129512,253545,25022,54803,46598
62,1,2,450000,8,2,16,1,1,2,2,2,2,5.83,9,2,20661619,3251866,6118861,9544650,2769173,743809,58624,64503,89818,2602598
63,2,3,4000,2,8,8,1,1,2,2,2,2,2724.37,11,2,42374,4851,4412,597,45196,0,8186,6773,2471,31605
65,3,5,12000,4,4,14,1,2,2,2,2,2,1769.43,25,1,29904,174333,51360,77388,144189,0,18037,0,16221,27090
66,2,4,102000,7,4,14,1,1,1,2,2,2,132.13,17,1,690512,296017,1262464,123364,1041427,50774,163946,32210,176054,177376
67,3,7,1550,2,6,14,1,2,2,2,2,2,1945.16,36,2,2194,26754,1573,0,41247,0,0,1776,2869,2265
68,2,4,28000,5,8,26,1,1,2,2,2,2,864.37,20,2,566335,345493,228982,16489,734884,0,89228,12055,64740,289359
69,1,2,400000,8,2,2,1,2,1,2,2,2,46.81,82,1,31215073,3300159,2521329,2070527,9131743,0,435548,223028,1835611,2303923
71,3,6,23500,4,4,25,1,1,2,2,2,2,297.78,31,2,373222,80438,137335,0,320610,0,52261,26261,18242,92311
72,2,3,77000,6,3,14,1,1,2,2,2,2,188.03,13,1,3694168,431283,658552,280234,648681,41827,242801,35888,128965,123156
73,4,8,7200,3,7,2,1,1,2,2,2,2,781.6,37,1,166324,9907,6404,285,108239,0,8363,1097,832,19111
74,3,5,2200,2,5,15,1,2,2,2,2,2,1446.07,25,1,12326,69241,11426,78342,41072,88932,56967,846,0,28792
75,1,1,900000,9,8,2,1,1,1,2,1,2,46.81,79,1,36398883,3616314,5810344,899604,25080374,1677064,2978747,1106970,7173627,8288254
76,2,3,116000,7,6,2,1,1,2,2,2,2,77.89,16,1,2025327,633625,410130,39581,3207579,0,122175,182714,292028,1478101
77,4,8,20000,4,4,18,1,1,2,2,2,2,781.6,38,1,482163,48219,22437,896077,93101,0,10250,0,0,48958
78,3,6,91000,6,5,18,1,1,2,2,2,2,313.39,30,2,145016,236355,47674,1007522,1425792,83343,29270,3302,8029,159030
79,3,5,310000,8,6,2,1,1,1,2,2,2,70.71,28,1,71331,0,2409844,335329,8489391,1222616,752968,552677,1840648,2582342
81,2,3,67000,6,4,17,1,1,1,2,2,2,214.9,14,2,2264801,1160352,1467903,4054888,1755790,129095,77284,18652,13073,626547
82,1,2,16000,4,6,2,1,1,2,2,2,2,406.42,9,1,664737,14187,12241,23868,81246,0,9739,8021,34847,24728
84,1,1,66000,6,4,23,1,1,2, ,2,2,406.42,2,2,1925901,241572,408646,401016,1397755,0,0,37883,53942,398884
85,3,5,13500,4,6,14,1,2,2,2,2,2,734.43,22,1,69612,73637,54132,29509,68392,3859,13450,1862,7387,11363
86,2,4,8800,3,5,5,1,1,2,2,2,2,864.37,20,1,93821,3727,2793,0,53926,0,0,1436,1026,10245
87,3,6,68000,6,8,11,1,1,2,2,2,2,377.81,29,2,391074,75596,57340,14272,2200041,3606,6593058,18560,52468,288499
89,4,8,430000,8,8,16,1,1,1,2,2,2,14.75,37,1,46491425,4951551,10731774,44639181,27976575,2572792,1231939,663644,1807478,7876685
90,1,2,18000,4,7,5,1,1,2,2,2,2,140.65,4,2,683141,6025,12701,688,179776,0,11498,2593,6072,30943
91,4,9,54000,6,4,14,1,1,2,2,2,2,243.77,55,1,2132567,191916,290134,1068371,1370873,0,0,30603,437191,126602
92,3,5,1050,2,4,2,1,2,1,2,2,2,2605.72,21,1,57067,4944,747,163,28677,0,6688,6,666,2229
93,3,5,6000,3,5,26,1,2,1,2,2,2,2314.83,25,1,151705,1925,4196,294,40440,0,6663,11,240,18519
94,2,3,104000,7,4,2,1,1,1,2,2,2,86.27,16,1,3394677,1251135,1612255,416531,4732137,79186,787276,854956,3497649,2337446
95,2,4,275000,8,7,16,1,1,1,2,2,2,12.29,19,2,32973937,5204153,6915842,0,13580982,398706,1177338,298884,810755,4147315
96,1,1,36000,5,1,1,1,1,1,2,2,2,411.91,3,2,1095651,7955,59801,20540,74522,399107,13433,62,1245,112019
98,2,3,1650,2,4,2,1,1,2,2,2,2,1701.91,15,2,153207,3109,1452,428,8719,0,12310,16,831,6446
99,4,8,136000,7,7,23,1,1,2, ,2,2,87.5,46,2,1883461,3472581,1228978,661780,3809573,815145,620488,103249,147018,1352171
100,3,6,3350,2,5,15,1,2,2,1,2,2,1591,29,1,0,3920,4894,5215,5110,0,31854,42,0,6129
101,1,2,1500,2,2,6,1,1,2,2,2,2,1711.45,6,2,568018,14443,4740,56842,50017,18712,442963,11955,3487,17246
102,2,3,1200,2,7,15,1,2,2,2,2,2,1337.85,13,1,0,0,0,363,439,2459,11551,5,0,796
103,2,4,4000,2,1,26,1,2,2,1,2,2,776.54,19,1,8408,3193,4874,1012,37772,0,40737,4853,14110,37744
105,1,2,1600,2,7,6,1,2,2,1,2,2,1390.68,4,1,0,2370,0,0,49110,0,272723,4372,1929,6472
106,2,4,5000,2,6,2,1,1,2,2,2,2,2724.37,18,2,250739,27450,6345,3419,51011,0,0,281,32038,30882
107,2,4,4000,2,6,12,1,2,2,1,2,2,2724.37,19,1,5723,14307,2590,303,14470,0,0,418,235,31756
108,3,7,65000,6,6,2,1,1,2,2,2,2,70.76,36,1,462197,371002,204636,18475,426357,0,156627,37047,296115,269266
109,3,6,2000,2,8,12,1,2,2,1,2,2,734.43,31,2,0,3292,394,259,2547,0,11725,116,0,5432
111,3,6,53000,6,8,26,1,2,2,1,2,2,297.78,31,2,0,603290,622485,0,2277622,0,116282,35588,63320,627840
112,2,3,21000,4,5,13,1,1,2,2,2,2,776.54,13,2,2913583,86426,575075,24741,139092,0,33551,19234,13742,171345
113,1,2,20000,4,5,2,1,1,2,2,2,2,2739.65,10,2,293938,72063,28813,615,61362,0,0,7546,4988,58204
116,3,5,15000,4,7,5,1,1,2,2,2,2,2546.83,21,1,28456,11578,13287,2535,51992,0,31755,2568,6502,35608
117,4,8,280000,8,5,5,1,1,2,2,2,2,33.69,38,1,11616488,1438746,736361,140418,3666102,0,164989,44581,111145,1190861
118,3,7,12500,4,6,12,1,2,2,2,2,2,2546.83,32,1,11158,12144,9932,721,14440,0,17415,0,152,50424
119,1,2,23000,4,5,25,1,2,2,2,2,2,2463.5,7,2,106396,41444,29085,5379,449291,0,16083,12956,4821,83411
121,3,5,6500,3,5,1,2,2,2,2,2,2,734.43,25,1,                  ,                  ,0,                  ,0,                  ,0,0,0,                  
123,3,7,27500,5,7,26,1,2,2,2,2,2,377.5,34,2,11446,122922,0,2396,127747,0,0,262,4609,327395
126,2,4,110000,7,5,5,1,1,2,2,2,2,361.04,17,2,4711361,22639,252690,23243,1228670,0,52406,34117,52946,215474
131,3,5,36000,5,7,2,1,1,2,2,2,2,734.43,23,2,1378415,303550,297354,135038,796774,61102,102733,40432,88980,195634
132,4,9,6100,3,4,26,1,1,2,2,2,2,944.4,41,2,8380,44224,17085,111554,112460,0,23825,26545,11539,33665
133,1,1,42000,5,7,2,1,2,1,2,2,2,82.18,1,1,823267,0,128185,19977,441470,0,0,3558,8002,97265
134,4,9,10750,4,3,14,1,1,2,2,2,2,446.21,43,2,477743,67309,71651,26078,102071,10236,98102,21619,42701,18856
135,3,7,6000,3,6,91,1,2,2,2,2,2,818.54,34,2,0,1243,0,0,1704,0,4748,0,0,6598
136,3,7,158000,7,8,2,1,2,1,2,2,2,74.65,57,1,1017137,5273345,2177246,372928,6541941,104380,558885,638856,1009402,1612483
137,2,3,28500,5,7,12,1,1,2,2,2,2,876.06,13,2,540988,27451,81936,15316,67373,13465,61358,2190,7157,162025
138,3,7,5000,2,1,18,1,1,2,2,2,2,419.28,32,2,12349,12758,1598,247028,75651,0,0,0,1264,10985
139,3,5,136000,7,7,14,1,1,1,2,2,2,144.29,22,2,7077793,2441292,3299853,283341,3133200,138642,71947,105354,752871,672795
140,1,2,94000,6,4,14,1,1,2,2,2,2,132.45,8,2,1893289,175141,293545,238295,491901,48668,106929,13747,138188,1331496
141,3,5,2250,2,8,5,1,2,2,2,2,2,745.49,28,2,0,0,0,0,9420,0,0,0,0,12051
142,2,3,17000,4,1,12,1,1,2,2,2,2,404.15,14,1,1704285,21323,28419,171104,327421,0,10145,0,0,79895
143,1,2,200001,8,5,14,1,1,1,2,2,1,39.92,5,2,54783428,366509,1977261,1085640,1819578,80581,47392,9058,29069,1462824
144,4,9,61000,6,3,16,1,1,1,2,2,2,140.65,43,1,8996691,818068,1762841,4101003,2757469,420071,249189,49206,359110,860030
145,3,6,16000,4,6,4,1,1,2,2,2,2,1446.07,30,1,9450869,725571,200484,139235,2197277,0,860058,77666,231547,910724
146,3,5,9000,3,4,15,1,1,2,2,2,2,528.24,27,2,368855,133613,54886,133858,154220,1001689,153305,543,2565,52829
147,3,5,148000,7,5,23,1,1,2, ,2,2,77.4,21,2,4125393,772680,878021,1040938,3038155,111877,494842,82342,117247,890329
149,3,5,108000,7,2,1,1,2,2,2,2,2,678.14,23,2,0,0,0,0,24782,0,0,0,0,97712
150,3,7,10000,3,6,91,1,1,2,2,2,2,807.37,36,2,18352,9698,2114,0,17624,0,3923,0,0,34437
151,4,8,180000,7,5,23,1,1,2, ,2,2,72.41,39,1,6585264,1058594,1381380,519719,4724953,0,769581,128058,182344,1371171
152,3,5,13500,4,7,5,1,2,2,2,2,2,807.37,26,1,5860,181277,5959,6764,221009,0,20067,6706,17045,40503
153,3,5,11250,4,6,12,1,1,2,2,2,2,807.37,26,2,4738,85925,3988,4395,42123,63277,82730,0,0,86235
154,4,8,6700,3,8,23,1,2,2, ,2,2,3391.93,37,1,120288,15754,12819,40100,117039,0,0,3172,4517,32979
156,2,4,3500,2,5,12,1,1,2,2,2,2,2447.55,19,2,109905,7538,5041,0,26050,0,0,0,2413,19865
157,2,3,1650,2,3,25,1,1,2,2,2,2,2724.37,14,1,128370,2968,1822,2361,12037,0,21873,178,0,4069
158,3,5,92000,6,7,14,1,1,1,2,2,2,133.87,21,1,2721797,523330,629579,317445,700313,58613,234321,30926,231289,1154645
159,3,5,9000,3,8,23,1,1,1, ,2,2,102.54,22,1,126364,70586,23522,41202,227696,0,0,6171,8787,68475
160,3,7,65000,6,7,5,1,2,2,2,2,2,155.65,34,1,1666,29303,22867,0,486415,0,4414,3029,6813,42899
161,2,3,150000,7,4,11,1,1,2,2,2,2,80.08,60,2,1493300,26103,283644,8072,1995722,0,8506404,17453,17520,1904614
162,3,6,100000,6,5,14,1,1,2,2,2,2,246.38,29,1,2238327,528585,672711,295948,1623979,75487,117266,23139,132922,182272
163,2,4,9700,3,6,6,1,1,2,2,2,2,2724.37,18,2,188879,74778,42631,0,369691,0,1008211,32900,52227,101536
164,3,7,116000,7,5,23,1,1,2, ,2,2,96.19,33,2,2650819,2032880,1066584,1310194,3824023,0,622841,103641,147575,1220480
165,4,9,7900,3,5,25,1,1,2,2,2,2,950.84,40,1,28657,20283,10900,1345,78091,0,18572,1050,1797,33083
166,2,3,1600000,10,4,24,1,1,2, ,2,2,25.66,85,1,9178343,11132268,9174864,10752246,31840496,3668761,5111411,850539,1211093,34525115
167,3,5,33000,5,5,25,1,2,2,2,2,2,528.95,25,1,70793,203129,157371,5211,1264624,0,0,9160,14541,126934
168,1,2,31000,5,5,23,1,1,1, ,2,2,410.56,6,1,1466996,219027,294789,223638,1020039,0,166140,27646,39365,345185
169,3,7,30500,5,4,18,1,1,2,2,2,2,364.2,57,2,63108,279234,90183,647880,344250,0,33644,11686,2643,196055
171,3,5,6000,3,7,15,1,1,2,2,2,2,528.67,21,1,73308,39169,31356,66394,102062,135265,111910,787,0,38564
172,3,7,21500,4,8,5,1,2,2,2,2,2,1164.83,34,1,8079,71325,55980,5912,92896,0,0,5824,6815,78763
173,2,3,116000,7,5,23,1,1,2, ,2,2,105.79,13,2,3904901,966986,1483255,622896,5073413,794641,826337,137502,195791,1456314
175,4,8,4800,2,2,25,1,1,2,2,2,2,2739.65,38,2,168465,2951,3604,406,19651,0,13813,1270,0,7475
176,2,3,132000,7,5,8,1,1,1,2,2,2,126.28,14,2,16978253,1077349,609577,822167,8983128,0,1317852,623348,489071,3136987
177,4,9,10250,4,4,14,1,1,2,2,2,2,456.4,62,2,119063,44564,46961,162091,108866,0,0,3962,11184,11500
178,3,5,1300,2,6,15,1,2,2,1,2,2,1591,21,1,24060,23774,7817,41287,67844,0,64382,218,3774,19228
179,1,1,18000,4,5,5,1,2,2,1,2,2,2463.5,1,1,0,655,7381,1711,28935,0,8576,33,2187,11937
181,3,5,2900,2,7,2,1,2,2,2,2,2,2314.83,25,1,1841,9417,517,268,9145,0,5942,727,1844,5469
182,4,8,80000,6,6,8,1,2,2,2,2,2,80.53,38,2,899449,540302,319723,64829,1994132,0,578172,603799,646536,1144698
183,4,8,36000,5,3,14,1,1,2,2,2,2,360.63,38,1,3022522,198242,211931,205012,444238,63521,101849,12496,49888,57364
184,2,3,30000,5,5,5,1,1,2,2,2,2,872.07,12,2,1379749,2930,0,6341,250304,0,0,2765,2330,80158
186,2,4,8600,3,2,5,1,2,2,2,2,2,776.54,17,2,0,0,0,0,17152,0,0,0,0,9444
187,2,4,2500,2,3,1,1,2,2,2,2,2,3110.9,17,1,0,0,0,0,761,0,0,0,0,2999
188,2,4,1600,2,8,26,1,2,2,2,2,2,3110.9,17,2,0,0,0,0,1149,0,0,0,0,339
190,1,2,10250,4,1,15,1,1,2,2,2,2,165.84,10,1,2039870,35860,136957,949028,118034,1282871,283860,2023,12398,90771
191,3,5,225000,8,4,2,1,1,2,2,2,2,39.55,23,2,4345273,1069059,365199,71222,2644202,0,74539,17187,29367,665364
192,3,6,66000,6,7,14,1,1,2,2,2,2,393.15,29,1,1007589,523581,635991,181317,767824,35045,297192,33842,86903,706988
193,3,5,4200,2,7,15,1,1,2,2,2,2,1446.07,22,1,264998,162542,78904,249574,87867,205540,620700,19358,8547,66545
194,3,7,81000,6,8,2,1,1,1,2,2,2,190.78,49,1,1792773,1679824,593516,799766,2233371,375195,202952,409293,398356,767164
195,1,2,1500,2,3,15,1,1,1,2,2,2,2739.65,6,2,216772,37548,27184,28387,32543,161935,135828,864,0,23403
196,4,9,54000,6,7,23,1,1,2, ,2,2,444.58,41,1,317291,1704204,969453,1996222,3475780,0,566121,94202,134136,1095817
197,2,3,44000,5,2,13,1,1,2,2,2,2,72.3,11,1,2983772,169283,523096,17569,222537,87354,70765,0,0,376561
198,3,7,4800,2,7,91,1,1,2,2,2,2,734.43,32,2,124503,4773,1967,4579,9005,0,21603,41,1149,45510
199,3,7,100000,6,5,12,1,1,2,2,2,2,72.27,49,1,23980,426458,440491,344,540947,0,40874,12088,16042,996608
200,3,5,16750,4,3,14,1,1,2,2,2,2,331.3,25,2,266075,226782,126187,303958,697468,11470,103080,38034,160497,43220
201,3,7,6000,3,8,2,1,2,2,2,2,2,528.24,49,2,12586,71760,10693,3067,73324,0,16757,9208,27829,31911
202,2,3,320000,8,7,16,1,1,1,2,2,2,7.56,15,1,48475684,2732713,6913771,15168712,13493717,2342185,185603,1017841,987864,3870897
203,3,7,8000,3,7,5,1,1,2,2,2,2,2314.83,33,1,257750,0,1133,213,48536,0,0,0,0,3346
204,2,3,17250,4,5,17,1,1,1,2,2,2,214.9,14,1,589562,112747,104535,803665,1019025,25072,67862,9223,29252,223676
205,3,5,104000,7,8,14,1,1,2,2,2,2,195.44,25,2,908182,1474067,269340,869306,1066283,89383,23452,32684,490145,152634
206,2,4,60000,6,6,23,1,1,1, ,2,2,80.08,17,2,3779340,278889,480240,353247,1623976,0,0,44014,62672,463274
207,2,3,22000,4,7,26,1,1,2,2,2,2,776.54,13,2,633939,4983,124349,3941,107260,0,19944,3335,2156,101636
211,3,5,150000,7,6,2,1,2,1,2,2,2,80.65,23,1,783029,911557,636467,81140,5000828,0,562927,194031,473854,1133981
212,2,3,54000,6,7,1,1,2,2,2,2,2,199.06,16,2,35287,0,5306,0,113072,0,0,0,0,59139
213,3,5,320000,8,7,1,1,2,2,2,2,2,17.67,73,1,0,8408192,697909,4352,2144415,0,57033,0,0,9246838
214,2,3,21750,4,3,23,1,1,2, ,2,2,53.77,13,1,814093,40595,82907,75118,283581,10443,46189,7686,10944,80134
215,3,5,42000,5,8,18,1,1,2,2,2,2,246.38,21,1,1079183,394403,0,1063796,865109,0,416131,49409,28119,327379
216,4,9,55000,6,8,5,1,2,2,2,2,2,242.54,41,1,0,55132,48243,18295,395938,0,29256,9031,54963,120287
217,2,4,2800,2,5,7,1,1,2,2,2,2,1697.96,17,1,225210,1799,5150,8243,11471,0,9558,4,928,12399
218,2,4,455000,8,5,16,1,1,1,1,2,2,20.73,18,1,36232043,8483982,12089440,17633361,15030991,0,185455,242939,1320750,15622765
219,3,5,74000,6,7,2,1,2,2,2,2,2,70.71,28,2,21285,1533821,216025,226534,1700072,0,206275,97480,1089886,346047
220,3,5,7000,3,6,12,1,2,2,2,2,2,734.43,22,1,10191,11517,1250,121,92166,0,12151,92,65,19703
223,4,8,800000,9,3,16,1,1,2,2,2,2,5.32,95,2,21246424,33366510,15404072,32240450,17719908,6222769,270704,654832,2185417,9439928
224,4,9,44000,5,8,2,1,1,2,2,2,2,97.69,40,2,42203,397804,85628,149632,827396,0,50577,53852,95371,235434
227,4,8,215000,8,7,16,1,1,1,2,2,2,39.89,37,1,24536029,941167,2431671,4700794,5421485,725236,94991,42517,126634,1314130
228,3,6,385000,8,5,2,1,1,2,2,2,2,40.28,31,1,1085847,4902796,4723189,832997,20047702,1211013,696586,777425,2870416,2823362
229,3,7,3600,2,8,26,1,2,2,1,2,2,2546.83,32,1,0,0,0,0,31418,0,8671,15,0,14461
230,3,5,74000,6,5,23,1,2,2, ,2,2,75.79,52,2,0,1793444,545001,578822,1689390,62210,275161,45787,65196,623504
231,3,5,2200,2,4,25,1,2,2,2,2,2,2544.74,26,2,2022,36309,1918,0,28023,0,57562,5557,4374,14278
232,1,2,6000,3,7,26,1,1,2,2,2,2,406.42,63,1,726827,31002,18977,2502,86056,0,22265,5167,2563,61889
233,2,3,132000,7,8,14,1,2,2,1,2,2,124.19,14,1,187009,153061,60186,43795,323617,11200,37926,7362,61011,32978
234,3,7,8700,3,2,1,2,2,2,2,2,2,1210.96,32,2,                  ,                  ,0,                  ,0,                  ,0,0,0,                  
235,3,5,10750,4,6,5,1,2,2,2,2,2,734.43,22,1,0,0,0,0,27104,0,0,0,0,14191
236,3,6,3500,2,6,5,1,1,2,2,2,2,2314.83,29,1,56808,6103,3394,1530,15989,0,19161,7206,979,10027
237,4,8,1500,2,2,26,1,1,2,2,2,2,2226.17,37,2,92584,0,3051,0,12537,0,19376,0,0,12756
238,3,5,10000,3,3,12,1,1,2,2,2,2,1210.96,23,2,204241,30338,3232,187,19083,0,0,0,0,78389
239,1,2,10250,4,5,18,1,2,2,2,2,2,456.4,8,2,57525,61519,9822,422707,160805,0,11778,10954,8827,38444
241,3,5,4700,2,8,15,1,1,2,2,2,2,1446.07,56,1,71803,143756,77245,111306,383669,348623,53235,8959,4840,57481
242,2,4,13750,4,4,12,1,1,2,2,2,2,776.54,18,1,217276,19122,9778,2062,19093,4326,16344,675,792,52055
243,1,2,5000,2,6,2,1,2,2,2,2,2,2739.65,9,1,70153,32213,4480,3210,186628,2598,48841,7943,14523,38753
245,3,5,12000,4,8,2,1,2,2,2,2,2,807.37,26,1,0,259467,15990,5024,53968,0,20587,10002,66446,39204
246,3,5,12750,4,5,14,1,2,2,2,2,2,734.43,25,1,49905,101149,47102,11368,47494,0,12144,650,815,19379
247,4,9,255000,8,7,2,1,1,1,2,2,2,31.27,40,2,13368649,2711472,1249409,225849,3837152,0,141018,249160,2143572,2121144
249,1,2,3850,2,3,13,1,2,1,2,2,2,1883.06,7,2,208035,0,4490,85,1686,572,3858,94,0,6881
251,4,8,5400,3,5,2,1,1,2,2,2,2,2463.5,38,1,91316,34548,9286,2050,69701,0,0,3172,24097,35992
252,2,3,5100,3,1,91,1,1,2,2,2,2,780.38,11,1,196824,2296,1564,802,39360,0,5787,0,345,25907
253,1,1,64000,6,2,2,1,2,1,2,1,2,80.53,58,2,4713000,857020,1134262,213514,2434013,0,462905,135936,869393,787734
254,4,8,3300,2,6,2,1,1,2,2,2,2,3391.93,39,1,96357,15610,2689,763,15233,0,21888,1456,2331,11462
255,3,6,1400,2,5,26,1,2,2,2,2,2,2314.83,30,2,12124,17461,2734,685,30599,0,0,0,0,16762
256,1,1,89000,6,1,2,1,1,2,2,2,2,221.72,3,2,5566877,120966,605074,41433,2145018,0,138594,126999,158525,489357
