,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat
0,1991-01-01,0.5457880654420316,0.5457880654420316,0.5457880654420316,0.1015047112005525,0.4750125081829373,-0.2617035706062835,-0.2617035706062835,-0.2617035706062835,-0.2617035706062835,-0.2617035706062835,-0.2617035706062835,0.0020096275324142272,0.0020096275324142272,0.0020096275324142272,-0.2637131981386978,-0.2637131981386978,-0.2637131981386978,0.2840844948357481
1,1991-01-02,0.5457964220386697,0.5457964220386697,0.5457964220386697,0.10454244446729449,0.45657533694868696,-0.263692472887785,-0.263692472887785,-0.263692472887785,-0.263692472887785,-0.263692472887785,-0.263692472887785,0.0008907616881052685,0.0008907616881052685,0.0008907616881052685,-0.2645832345758902,-0.2645832345758902,-0.2645832345758902,0.2821039491508847
2,1991-01-03,0.5458047786353077,0.5458047786353077,0.5458047786353077,0.10831050159197451,0.46423773099744703,-0.26920249657031725,-0.26920249657031725,-0.26920249657031725,-0.26920249657031725,-0.26920249657031725,-0.26920249657031725,-0.004073633349616145,-0.004073633349616145,-0.004073633349616145,-0.2651288632207011,-0.2651288632207011,-0.2651288632207011,0.2766022820649905
3,1991-01-04,0.5458131352319459,0.5458131352319459,0.5458131352319459,0.0747832334194241,0.4574402153997778,-0.2736698331506361,-0.2736698331506361,-0.2736698331506361,-0.2736698331506361,-0.2736698331506361,-0.2736698331506361,-0.008365784111436386,-0.008365784111436386,-0.008365784111436386,-0.2653040490391997,-0.2653040490391997,-0.2653040490391997,0.27214330208130977
4,1991-01-05,0.545821491828584,0.545821491828584,0.545821491828584,0.0968435770034056,0.46160304130028595,-0.2706660357842559,-0.2706660357842559,-0.2706660357842559,-0.2706660357842559,-0.2706660357842559,-0.2706660357842559,-0.0055979489986625755,-0.0055979489986625755,-0.0055979489986625755,-0.26506808678559335,-0.26506808678559335,-0.26506808678559335,0.27515545604432806
5,1991-01-06,0.545829848425222,0.545829848425222,0.545829848425222,0.11067691314993848,0.4820007310090172,-0.25687454724050485,-0.25687454724050485,-0.25687454724050485,-0.25687454724050485,-0.25687454724050485,-0.25687454724050485,0.0075123792195351796,0.0075123792195351796,0.0075123792195351796,-0.26438692646004003,-0.26438692646004003,-0.26438692646004003,0.28895530118471713
6,1991-01-07,0.5458382050218601,0.5458382050218601,0.5458382050218601,0.10189719188336155,0.48095312460787654,-0.25560975557244514,-0.25560975557244514,-0.25560975557244514,-0.25560975557244514,-0.25560975557244514,-0.25560975557244514,0.00762459801966097,0.00762459801966097,0.00762459801966097,-0.26323435359210606,-0.26323435359210606,-0.26323435359210606,0.29022844944941495
7,1991-01-08,0.5458465616184982,0.5458465616184982,0.5458465616184982,0.09592529029050414,0.470852913936695,-0.259583360157082,-0.259583360157082,-0.259583360157082,-0.259583360157082,-0.259583360157082,-0.259583360157082,0.0020096275324130576,0.0020096275324130576,0.0020096275324130576,-0.26159298768949507,-0.26159298768949507,-0.26159298768949507,0.2862632014614162
8,1991-01-09,0.5458549182151362,0.5458549182151362,0.5458549182151362,0.10804687882796096,0.48565950729133534,-0.2585643049046048,-0.2585643049046048,-0.2585643049046048,-0.2585643049046048,-0.2585643049046048,-0.2585643049046048,0.0008907616881038661,0.0008907616881038661,0.0008907616881038661,-0.25945506659270867,-0.25945506659270867,-0.25945506659270867,0.2872906133105314
9,1991-01-10,0.5458632748117743,0.5458632748117743,0.5458632748117743,0.09643968246857913,0.4699062188781924,-0.26089662321684987,-0.26089662321684987,-0.26089662321684987,-0.26089662321684987,-0.26089662321684987,-0.26089662321684987,-0.004073633349620015,-0.004073633349620015,-0.004073633349620015,-0.2568229898672299,-0.2568229898672299,-0.2568229898672299,0.28496665159492446
