PUBID7   ,REGION7  ,CENDIV7  ,SQFT7    ,SQFTC7   ,YRCONC7  ,PBA7     ,ELUSED7  ,NGUSED7  ,FKUSED7  ,PRUSED7  ,STUSED7  ,HWUSED7  ,CLIMATE7 ,NFLOOR7  ,YRCON7   ,MONCON7  ,GOVOWN7  ,GOVTYP7  ,NOCC7    ,NOCCAT7  ,OWNOCC7  ,OWNREP7  ,MONUSE7  ,PORVAC7  ,OPEN247  ,OPNMF7   ,OPNWE7   ,WKHRS7   ,WKHRSC7  ,NWKER7   ,NWKERC7  ,HT17     ,HT27     ,COOL7    ,WATR7    ,COOK7    ,MANU7    ,GENR7    ,HEATP7   ,HTLS507  ,COOLP7   ,LTOHRP7  ,ADJWT7   ,PAIR7    ,STRATUM7
1,4,9,225000,8,6,8,1,2,2,2,1,2,5,4,1987,  ,2, ,1,2,1, ,12,2,2,1,1,60,4,1300,10,1,2,1,1,2,2,2,100, ,100,100,88.72,2,16
2,2,3,425000,8,7,7,1,1,1,2,2,1,2,5,1993,  ,1,3,1,2,1, ,12,1,1, , ,168,7,400,8,1,1,1,1,1,2,1,100, ,100,100,14.49,1,41
3,2,4,60000,6,6,2,1,1,1,2,2,2,2,2,1986,  ,2, ,1,2,1, ,12,2,1, , ,168,7,850,9,1,1,1,1,2,2,1,100, ,100,100,628.33,2,36
4,2,3,2750,2,6,2,1,1,2,2,2,2,2,1,1986,  ,2, ,2,3,2,1,12,2,2,1,2,45,3,10,4,1,2,1,2,2,2,2,100, ,100,95,464.75,1,7
5,2,3,30000,5,4,12,1,1,2,2,2,2,2,1,1963,  ,2, ,1,2,1, ,12,2,2,1,1,70,5,6,3,1,1,1,1,1,2,2,100, ,100,33,558.67,1,7
6,3,5,180000,7,6,2,1,2,2,2,2,2,3,991,1988,  ,2, ,4,3,1, ,12,2,1, , ,168,7,700,9,1,2,1,1,1,2,2,75, ,75,100,36.68,2,8
7,3,6,50001,6,6,2,1,1,2,2,2,2,4,6,1985,  ,2, ,19,5,2,1,12,2,2,1,2,55,4,300,8,1,1,1,1,2,2,2,100, ,100,100,264.22,1,39
8,2,3,10001,4,4,26,1,1,2,2,2,2,2,1,1968,  ,2, ,1,2,1, ,12,2,2,1,1,68,5,31,5,1,1,1,1,2,2,2,100, ,100,90,173.89,2,26
9,3,5,60000,6,6,17,1,1,1,2,2,2,5,1,1987,  ,2, ,1,2,2,1,12,2,1, , ,168,7,45,5,1,2,1,1,1,2,1,100, ,100,100,192.41,1,38
10,3,7,100001,7,4,14,1,2,2,2,1,2,5,3,1964,  ,2, ,1,2,1, ,12,2,2,1,1,84,5,68,6,1,2,1,1,2,2,2,100, ,100,100,27.84,2,42
11,4,9,40000,5,5,2,1,1,2,2,2,2,4,3,1971,  ,2, ,3,3,2,2,12,2,2,1,2,70,5,200,7,1,2,1,1,2,2,2,100, ,100,100,152.37,1,17
12,4,8,5500,3,4,15,1,1,2,2,2,2,5,2,1963,  ,2, ,1,2,1, ,12,2,2,1,1,70,5,10,4,1,2,1,1,1,2,2,100, ,100,100,3494.37,2,42
13,2,3,95000,6,5,23,1,1,2,2,2,2,1,3,1978,  ,2, ,15,5,1, ,12,1,2,1,1,140,6,200,7,1,1,1,1,1,2,2,100, ,100,90,156.97,2,34
14,4,9,10000,3,6,5,2,2,2,2,2,2,3,1,1987,  ,2, ,1,2,1, ,12,2,2,1,1,84,5,1,2,2,2,2,2,2,2,2,   , ,   ,   ,493.51,2,35
15,3,6,13750,4,6,5,1,1,2,1,2,2,4,1,1988,  ,2, ,1,2,1, ,12,2,2,1,1,95,6,45,5,1,2,1,1,2,2,2,100, ,100,100,493.51,2,39
16,3,5,50001,6,2,14,1,1,2,2,2,2,5,2,1921,  ,1,3,1,2,1, ,10,2,2,1,2,52,4,48,5,1,2,1,1,1,2,2,100, ,100,80,118.21,2,40
17,2,4,6500,3,3,5,1,1,2,2,2,2,1,1,1950,  ,2, ,1,2,1, ,12,2,2,1,1,50,4,9,3,1,2,1,2,2,1,2,100, ,20,100,475.78,1,18
18,2,3,18750,4,6,17,1,1,2,2,2,2,2,2,1986,  ,2, ,1,2,1, ,12,2,1, , ,168,7,55,6,1,2,1,1,1,2,1,100, ,100,100,497.28,1,14
19,3,7,75000,6,4,14,1,1,2,2,2,2,5,2,1964,  ,1,3,1,2,1, ,12,1,2,1,1,42,3,32,5,1,1,1,2,1,2,2,100, ,100,100,118.21,1,33
20,2,4,5000,2,6,5,1,2,2,2,2,2,1,1,1985,  ,1,3,1,2,1, ,12,2,2,1,2,40,3,4,2,1,2,1,1,2,2,2,50, ,10,50,6693.58,1,31
21,3,5,1250,2,3,25,1,2,2,1,2,2,3,1,1950,  ,2, ,1,2,1, ,12,2,2,1,1,45,3,1,2,1,2,1,2,2,2,2,100, ,100,100,5764.94,1,43
22,2,4,5500,3,1,1,2,2,2,2,2,2,3,2,1900,  ,2, ,0,1, , ,0,1, , , ,0,1,0,1,2,2,2,2,2,2,2,   , ,   ,   ,5685.6,2,23
23,2,4,17500,4,4,25,1,1,2,2,2,2,2,1,1969,  ,2, ,1,2,1, ,12,2,2,1,1,48,3,9,3,1,1,1,1,2,2,2,26, ,26,100,478.12,1,13
24,3,5,40000,5,7,25,1,2,2,2,2,2,5,2,1994,  ,2, ,1,2,1, ,12,2,2,1,1,60,4,15,4,1,2,1,1,2,2,2,100, ,100,100,662.11,1,38
25,3,7,2500,2,5,13,1,1,2,2,2,2,5,1,1979,  ,2, ,1,2,2,2,12,2,2,1,1,70,5,1,2,1,1,1,2,2,2,2,100, ,100,90,5984.84,2,33
26,3,5,47500,5,6,91,1,2,2,2,2,2,3,2,1986,  ,2, ,18,5,2,2,12,2,2,1,2,50,4,120,7,1,2,1,1,2,2,2,80, ,100,100,186.76,2,26
27,3,7,120000,7,2,5,1,2,2,2,2,2,5,2,1945,  ,2, ,1,2,2,2,12,2,2,1,1,63,5,35,5,1,2,1,1,2,2,2,5, ,5,100,91.15,1,21
28,3,5,6500,3,5,5,1,1,1,2,2,2,3,1,1972,  ,2, ,1,2,2,2,12,2,2,1,1,50,4,6,3,1,1,1,1,2,2,2,100, ,30,100,391.42,2,14
29,3,5,35000,5,3,5,1,2,2,2,2,2,5,1,1947,  ,2, ,1,2,1, ,12,2,2,1,1,45,3,27,5,1,2,1,1,2,2,2,100, ,100,100,294.87,2,38
30,4,9,60000,6,8,5,1,1,2,2,2,2,4,3,1999,1,2, ,1,2,1, ,11,2,2,1,1,84,5,3,2,1,2,1,1,2,2,2,5, ,5,100,162.06,1,15
31,4,9,23750,4,3,5,1,1,2,2,2,2,4,1,1948,  ,2, ,2,3,1, ,12,2,2,1,2,43,3,13,4,1,2,1,1,2,2,2,10, ,10,10,171.45,2,36
32,3,5,3000,2,2,12,1,1,2,2,2,2,4,2,1942,  ,2, ,1,2,1, ,12,2,2,2,1,4,2,1,2,1,2,1,1,2,2,2,100, ,100,33,5670.63,2,43
33,4,8,45000,5,2,14,1,1,2,2,2,2,2,4,1924,  ,1,2,1,2,1, ,9,1,2,1,2,35,2,35,5,1,1,2,1,2,2,2,68, ,   ,100,400.44,2,35
34,4,9,6500,3,3,14,1,1,2,2,2,2,4,1,1956,  ,1,3,1,2,1, ,10,2,2,1,2,35,2,11,4,1,1,2,2,2,2,2,100, ,   ,100,2741.21,1,21
35,1,2,325000,8,4,13,1,2,1,2,1,2,3,991,1964,  ,1,2,5,3,2,1,12,2,2,2,1,40,3,166,7,1,1,1,1,1,1,1,100, ,75,90,34.17,1,17
36,4,9,10000,3,4,2,1,2,2,2,2,1,4,1,1960,  ,2, ,2,3,2,2,12,2,2,1,1,48,3,8,3,1,1,1,1,1,2,2,85, ,85,100,352.83,2,3
37,1,2,50001,6,4,13,1,2,2,2,2,2,2,3,1969,  ,2, ,5,3,1, ,12,2,1, , ,168,7,60,6,1,2,1,1,2,2,2,100, ,100,100,436.16,1,9
38,4,8,32500,5,5,8,1,2,2,2,2,2,5,1,1978,  ,2, ,1,2,1, ,12,2,2,1,2,40,3,195,7,1,2,1,1,2,2,2,100, ,100,100,401.51,2,42
39,1,2,30000,5,7,8,1,2,1,2,1,2,2,3,1995,  ,1,2,1,2,1, ,12,2,1, , ,168,7,35,5,1,2,1,2,2,2,1,100, ,100,100,142.4,2,27
40,3,7,12500,4,6,15,1,2,2,2,2,2,5,2,1983,  ,2, ,1,2,1, ,12,2,2,1,1,55,4,12,4,1,2,1,1,1,2,2,100, ,100,50,497.28,1,42
41,2,3,30000,5,6,23,1,1,2,2,2,2,2,1,1985,  ,2, ,16,5,2,2,12,1,2,1,1,85,6,41,5,1,2,1,1,1,2,2,100, ,90,90,136.39,1,25
42,4,8,1400000,10,6,2,1,2,1,2,1,2,2,992,1983,  ,2, ,80,7,1, ,12,1,2,1,1,60,4,4000,11,1,1,1,1,2,2,1,97, ,95,98,5.27,1,34
43,4,8,55000,6,4,12,1,1,2,2,2,2,2,3,1962,  ,2, ,1,2,1, ,12,2,2,1,1,88,6,0,1,1,1,1,1,2,2,2,100, ,40,90,282.26,2,10
44,4,8,1250,2,7,6,1,1,2,2,2,2,1,1,1991,  ,2, ,1,2,1, ,12,2,1, , ,168,7,2,2,1,2,1,1,2,2,2,90, ,90,100,12791.31,1,22
45,3,5,32500,5,6,2,1,2,2,2,2,2,4,2,1984,  ,2, ,12,5,1, ,12,1,2,1,2,60,4,75,6,1,2,1,1,2,2,2,100, ,100,100,181.86,1,44
46,1,2,110000,7,1,2,1,2,1,2,2,2,3,991,1917,  ,2, ,15,5,2,1,12,2,1, , ,168,7,700,9,1,1,1,1,1,2,2,100, ,4,100,36.68,1,34
47,3,6,30000,5,5,5,1,1,2,2,2,2,4,2,1973,  ,2, ,1,2,2,2,12,2,2,1,2,50,4,15,4,1,1,1,1,2,2,2,25, ,25,100,159.46,1,39
48,2,3,3750,2,2,1,2,2,2,2,2,2,3,1,1945,  ,2, ,0,1, , ,0,1, , , ,0,1,0,1,2,2,2,2,2,2,2,   , ,   ,   ,7197.04,2,16
49,1,1,75000,6,2,2,1,2,1,2,2,2,2,2,1941,  ,1,3,4,3,2,1,12,2,2,1,1,40,3,50,6,1,1,1,1,2,2,2,100, ,1,80,488.62,2,36
50,2,3,1000000,9,4,16,1,1,1,2,2,2,2,12,1966,  ,2, ,1,2,2,2,12,2,1, , ,168,7,1500,10,1,1,1,1,1,2,1,100, ,80,98,14.51,2,32
51,3,5,275000,8,5,13,1,1,1,2,2,2,5,3,1976,  ,1,3,1,2,1, ,12,2,1, , ,168,7,125,7,2,2,1,2,1,2,1,   , ,100,100,108.91,1,13
52,3,7,70000,6,4,16,1,2,2,2,1,1,5,1,1961,  ,2, ,2,3,2,1,12,2,1, , ,168,7,200,7,1,1,1,1,1,2,2,100, ,100,100,181.07,2,11
53,3,6,13750,4,8,8,1,2,1,2,2,2,4,1,1999,2,2, ,1,2,2,2,8,2,2,1,2,52,4,15,4,1,2,1,1,2,2,1,100, ,100,100,452.42,1,39
54,4,8,1750,2,3,2,1,1,2,2,2,2,4,1,1953,  ,2, ,1,2,1, ,12,2,1, , ,168,7,12,4,1,1,1,1,2,2,2,100, ,100,100,428.68,2,30
55,2,3,11250,4,5,26,1,1,2,2,2,2,1,1,1970,  ,2, ,1,2,1, ,12,2,2,1,2,55,4,12,4,1,2,1,1,2,2,2,100, ,8,100,648.22,2,23
56,3,6,350000,8,7,13,1,1,1,1,2,2,5,4,1994,  ,2, ,4,3,1, ,12,2,1, , ,168,7,2750,11,1,2,1,1,1,2,1,96, ,96,98,16.64,2,2
57,2,4,150000,7,6,5,1,1,1,2,2,2,2,4,1987,  ,2, ,1,2,1, ,12,2,2,1,1,100,6,145,7,1,1,1,1,2,1,2,100, ,15,100,515.96,2,36
58,3,7,110000,7,3,91,1,1,1,2,2,2,4,5,1952,  ,2, ,1,2,1, ,12,2,1, , ,168,7,180,7,1,2,1,1,2,2,1,100, ,100,90,96.61,1,3
59,3,5,50001,6,8,2,1,2,2,2,2,2,5,1,1998,  ,2, ,6,4,1, ,12,2,2,1,2,45,3,50,6,2,2,1,1,2,2,2,   , ,100,90,152.41,2,40
60,1,2,20000,4,6,23,1,2,2,1,2,2,2,2,1982,  ,2, ,7,4,2,2,12,1,2,1,1,60,4,18,4,1,2,1,1,1,2,2,50, ,90,100,432.28,1,37
61,3,5,4750,2,5,26,1,2,2,2,2,2,5,1,1974,  ,2, ,1,2,2,2,12,2,2,1,2,50,4,10,4,1,2,1,1,2,2,2,100, ,100,100,508.07,1,40
62,4,8,90000,6,1,13,1,1,2,2,2,2,2,4,1901,  ,1,3,3,3,2,2,12,2,2,1,1,45,3,7,3,1,2,1,1,1,2,2,100, ,50,50,158.01,2,10
63,3,6,180000,7,4,5,1,1,2,2,2,2,5,2,1965,  ,1,1,3,3,2,2,12,2,2,1,2,40,3,66,6,1,1,1,1,2,2,2,100, ,75,100,27.35,2,2
64,2,4,75000,6,6,13,1,1,2,2,2,2,1,2,1984,  ,2, ,3,3,1, ,12,2,2,1,1,112,6,12,4,1,1,1,1,2,2,2,18, ,18,95,130.15,2,18
65,3,7,350000,8,8,2,1,2,1,2,2,2,5,14,1999,4,2, ,10,4,2,1,8,1,2,1,1,61,5,950,9,1,2,1,1,2,2,1,90, ,90,90,20.92,2,25
66,2,3,400000,8,8,5,1,1,2,2,2,2,2,1,1999,3,2, ,1,2,2,2,4,1,2,1,1,50,4,40,5,1,2,1,2,2,2,2,100, ,100,100,21.41,1,7
67,2,3,475000,8,7,2,1,2,2,2,2,2,2,992,1990,  ,2, ,20,5,2,1,12,1,2,1,2,60,4,1500,10,1,2,1,1,2,2,2,100, ,100,100,15.37,1,44
68,4,9,7500,3,7,5,1,1,2,2,2,2,3,2,1990,  ,2, ,2,3,1, ,12,2,2,1,1,112,6,2,2,1,1,2,1,2,2,2,3, ,   ,1,937.32,1,43
69,3,7,150000,7,7,2,1,2,1,2,2,2,5,7,1993,  ,2, ,1,2,1, ,12,2,2,1,2,45,3,556,9,1,2,1,1,2,2,1,100, ,100,100,99.49,2,21
70,3,5,500000,8,8,2,1,1,1,2,2,2,4,5,1997,  ,1,1,1,2,2,1,12,2,2,1,2,40,3,900,9,1,2,1,1,1,2,1,50, ,50,100,9.03,1,1
71,4,8,17500,4,6,14,1,2,2,2,2,2,5,1,1980,  ,2, ,2,3,2,1,12,2,2,1,1,75,5,35,5,1,2,1,1,2,2,2,100, ,100,100,221.07,1,32
72,4,9,50001,6,3,5,1,1,2,2,2,2,4,1,1957,  ,2, ,1,2,2,2,12,2,2,1,1,65,5,35,5,1,2,1,2,2,2,2,13, ,13,100,142.27,2,36
73,1,2,7500,3,1,13,1,1,2,2,2,2,2,4,1754,  ,2, ,1,2,1, ,12,2,2,1,1,44,3,2,2,1,2,1,1,1,2,2,100, ,100,20,2741.21,1,37
74,4,8,35000,5,8,5,1,1,2,2,2,2,5,1,1998,  ,2, ,1,2,2,2,12,2,2,1,1,75,5,60,6,1,2,1,1,2,2,2,100, ,10,100,202.1,2,31
75,3,7,7500,3,5,2,1,2,2,2,2,2,5,1,1975,  ,2, ,4,3,2,2,12,2,2,1,1,44,3,20,5,1,2,1,1,2,2,2,100, ,100,100,485.29,1,33
76,1,2,1800000,10,3,13,1,1,1,2,1,2,3,9,1950,  ,1,2,40,6,1, ,12,1,1, , ,168,7,415,8,1,2,1,1,1,2,1,70, ,85,85,40.15,1,34
77,4,8,1750,2,4,5,1,1,2,2,2,2,4,1,1965,  ,2, ,1,2,2,2,12,2,2,1,1,50,4,3,2,1,2,1,2,2,2,2,55, ,22,55,5984.84,2,30
78,3,6,190000,7,6,2,1,1,1,1,2,2,4,3,1986,  ,2, ,1,2,1, ,12,2,1, , ,168,7,400,8,1,1,1,1,1,1,1,100, ,95,100,91.57,2,39
79,4,8,2750,2,4,1,1,1,2,2,2,2,2,1,1960,  ,1,3,0,1, , ,0,1, , , ,0,1,0,1,1,1,1,1,2,2,2,100, ,100,   ,6693.58,1,10
80,1,2,65000,6,3,18,1,2,2,2,1,2,2,4,1958,  ,1,2,1,2,1, ,11,2,1, , ,168,7,2,2,1,2,1,1,2,2,2,95, ,95,30,185.83,2,9
81,2,3,170000,7,4,14,1,1,2,2,2,2,3,3,1968,  ,2, ,2,3,2,2,6,2,2,1,2,45,3,30,5,1,2,1,1,2,2,2,60, ,20,60,96.65,2,22
82,4,8,1250,2,5,25,1,1,2,2,2,2,4,1,1976,  ,2, ,1,2,2,2,12,2,2,1,1,50,4,2,2,1,2,1,1,2,2,2,100, ,100,100,6071.45,2,30
83,4,9,850000,9,3,16,1,2,1,2,1,2,3,10,1959,  ,1,2,1,2,1, ,12,1,1, , ,168,7,238,7,1,2,1,1,1,2,1,100, ,100,100,7.77,1,1
84,2,4,20000,4,2,14,1,1,2,2,2,2,3,2,1928,  ,1,3,1,2,1, ,12,2,2,1,1,60,4,27,5,1,2,1,1,1,2,2,100, ,3,100,173.78,2,42
85,3,5,200000,7,8,2,1,1,1,2,2,2,3,11,1999,4,2, ,1,2,1, ,1,1,2,1,1,65,5,750,9,1,2,1,1,1,2,1,100, ,100,100,43.63,2,17
86,4,9,3250,2,4,18,1,1,2,2,2,2,4,2,1964,  ,2, ,1,2,1, ,12,1,1, , ,168,7,2,2,1,2,1,1,2,2,2,90, ,100,10,524.16,2,10
87,2,4,15000,4,7,8,1,1,2,2,2,2,1,1,1995,  ,2, ,4,3,1, ,12,2,2,1,1,64,5,40,5,1,2,1,1,2,2,2,100, ,100,100,709.42,2,24
88,1,2,800000,9,5,2,1,1,1,2,2,2,3,12,1972,  ,1,1,15,5,1, ,12,1,2,1,1,60,4,2000,10,1,2,1,1,1,2,1,76, ,50,100,8.83,1,5
89,3,5,425000,8,6,2,1,1,1,2,2,2,3,9,1989,  ,2, ,30,6,1, ,12,1,2,1,1,65,5,350,8,1,2,1,1,1,2,1,50, ,50,100,36.68,2,8
90,4,8,27500,5,4,18,1,1,2,2,2,2,2,3,1962,  ,2, ,1,2,2,1,10,2,1, , ,168,7,5,3,1,2,1,1,1,2,2,100, ,16,19,737.64,1,30
91,3,5,3500,2,5,26,1,2,1,2,2,2,3,1,1971,  ,2, ,1,2,2,2,12,2,2,1,2,45,3,2,2,1,1,1,1,2,2,2,100, ,20,100,698.25,2,24
92,3,5,27500,5,5,13,1,2,2,2,2,2,5,2,1975,  ,1,3,1,2,1, ,12,2,2,1,2,40,3,23,5,1,2,1,1,1,2,2,100, ,100,100,235.67,1,38
93,2,3,7500,3,1,1,1,1,2,2,2,2,1,4,1880,  ,2, ,0,1, , ,0,1, , , ,0,1,0,1,1,2,1,1,2,2,2,75, ,10,   ,113.02,2,2
94,3,7,17500,4,3,5,1,1,2,2,2,2,5,1,1956,  ,2, ,40,6,2,1,12,1,2,1,2,45,3,5,3,1,2,1,1,2,1,2,20, ,20,20,236.58,1,15
95,3,7,65000,6,4,25,1,1,2,2,2,2,4,2,1969,  ,2, ,1,2,2,2,12,2,2,1,1,72,5,65,6,1,2,1,1,2,2,2,100, ,100,100,181.53,1,3
96,3,5,21250,4,3,14,1,1,2,2,2,2,4,3,1952,  ,1,3,1,2,1, ,12,2,2,1,2,45,3,30,5,1,2,1,1,2,2,2,100, ,80,60,173.78,2,43
97,3,5,50000,5,5,12,1,1,2,2,2,2,3,3,1971,  ,2, ,1,2,1, ,12,2,2,1,1,50,4,6,3,1,1,1,1,2,2,2,75, ,100,75,243.31,2,31
98,3,7,3000,2,1,5,1,1,2,2,2,2,5,1,1910,  ,1,3,1,2,2,2,12,2,2,1,1,8,2,0,1,1,2,2,2,2,2,2,100, ,   ,50,431.03,2,33
99,1,2,3750,2,2,18,1,2,2,2,1,2,2,4,1932,  ,2, ,1,2,1, ,12,2,1, , ,168,7,1,2,1,2,2,1,2,2,2,100, ,   ,100,3494.25,2,37
100,1,2,130000,7,5,5,1,1,1,2,2,2,3,3,1972,  ,1,1,3,3,1, ,12,2,1, , ,168,7,150,7,1,1,1,1,2,2,2,30, ,30,100,36.04,1,28
101,2,3,35000,5,4,14,1,1,2,2,2,2,3,4,1963,  ,1,3,1,2,1, ,9,2,2,1,1,70,5,42,5,1,1,1,1,1,2,2,100, ,2,95,147.14,1,22
102,4,9,10001,4,4,2,1,2,2,2,2,2,4,2,1961,  ,2, ,1,2,2,1,12,2,9,1,1,37,2,30,5,1,2,1,1,2,2,2,90, ,90,90,352.83,2,41
103,3,6,42500,5,6,5,1,2,2,2,2,2,5,1,1986,  ,2, ,1,2,1, ,12,2,2,1,2,40,3,1,2,2,2,2,2,2,2,2,   , ,   ,20,230.47,2,1
104,3,7,1500,2,6,26,1,1,2,2,2,2,5,1,1980,  ,2, ,1,2,1, ,12,2,2,1,1,35,2,2,2,1,2,1,2,2,2,2,15, ,15,15,5764.94,2,4
105,1,2,10000,3,2,15,1,2,1,2,2,2,3,1,1932,  ,1,1,1,2,2,2,12,2,2,3,1,16,2,200,7,1,2,2,1,1,2,2,100, ,   ,100,437.18,1,23
106,3,7,300000,8,4,2,1,1,2,2,2,2,5,991,1960,  ,2, ,35,6,2,1,12,1,2,1,1,60,4,300,8,1,1,1,1,2,2,2,100, ,100,82,18.93,2,18
107,3,7,350000,8,8,14,1,1,2,2,2,1,5,2,1999,1,1,2,1,2,2,1,12,1,2,1,2,50,4,150,7,1,1,1,1,1,2,2,100, ,98,100,4.9,1,4
108,3,6,25000,4,6,13,1,1,2,2,2,2,4,1,1984,  ,1,3,1,2,1, ,9,1,2,1,2,35,2,6,3,1,2,2,2,2,2,2,100, ,   ,100,437.18,2,39
109,3,6,17500,4,4,13,1,1,2,2,2,2,3,1,1968,  ,1,3,1,2,1, ,12,2,2,1,1,42,3,6,3,1,2,1,1,2,2,2,100, ,55,95,331.45,1,24
110,1,2,500000,8,5,2,1,2,2,2,1,2,3,991,1972,  ,2, ,55,7,2,1,12,1,2,1,2,60,4,200,7,1,2,1,1,2,2,2,100, ,100,100,8.04,2,35
111,2,3,90000,6,4,5,1,1,2,2,2,2,2,1,1968,  ,2, ,1,2,2,2,12,2,2,1,2,95,6,30,5,1,2,1,2,2,2,2,100, ,1,100,256.09,1,16
112,4,8,25001,5,6,5,1,1,2,2,2,2,5,2,1983,  ,2, ,1,2,2,2,11,2,2,1,2,45,3,35,5,1,2,1,1,2,1,2,15, ,15,100,185.56,2,19
113,4,9,130000,7,4,91,1,1,2,2,2,2,4,1,1967,  ,2, ,1,2,1, ,12,2,1, , ,168,7,60,6,1,2,1,1,2,2,2,100, ,100,100,125.51,2,37
114,3,5,32500,5,4,23,1,1,2,2,2,2,3,1,1964,  ,2, ,10,4,2,2,12,1,2,1,1,60,4,50,6,1,1,1,1,1,2,2,100, ,100,100,672.26,2,8
115,4,9,35000,5,3,26,1,1,1,2,2,2,3,1,1950,  ,1,3,1,2,1, ,12,2,2,1,1,80,5,19,4,1,1,2,1,2,2,2,70, ,   ,100,150.02,1,43
116,3,7,45000,5,7,8,1,1,2,2,2,2,4,2,1994,  ,2, ,1,2,1, ,12,2,2,1,1,55,4,125,7,1,2,1,1,2,2,2,100, ,100,100,147.14,2,3
117,3,5,22500,4,6,91,1,1,2,2,2,2,4,1,1984,  ,2, ,1,2,1, ,12,2,1, , ,168,7,10,4,1,2,2,2,2,2,2,100, ,   ,100,211.49,1,44
118,2,4,1500,2,6,15,1,2,2,2,2,2,3,1,1985,  ,2, ,1,2,1, ,12,2,2,1,1,48,3,1,2,1,2,1,1,1,2,2,100, ,100,100,3494.37,2,41
119,3,5,120000,7,5,23,1,2,2,2,2,2,5,1,1978,  ,2, ,14,5,2,2,12,1,2,1,1,55,4,100,7,1,2,1,1,1,2,2,100, ,100,100,116.06,1,38
120,3,7,20000,4,4,23,1,2,2,2,2,2,5,1,1961,  ,2, ,8,4,2,2,12,1,2,1,1,50,4,20,5,1,2,1,1,2,2,2,90, ,95,100,420.46,1,4
121,4,9,150000,7,5,16,1,2,1,2,1,2,3,7,1974,  ,2, ,1,2,1, ,12,1,1, , ,168,7,175,7,1,2,1,1,2,2,1,100, ,85,100,28.73,2,18
122,2,3,450000,8,8,91,1,1,2,2,2,2,2,2,1996,  ,2, ,1,2,1, ,12,2,2,1,1,144,6,140,7,1,1,1,1,2,1,2,60, ,4,95,43.63,2,32
123,2,3,130000,7,3,13,1,2,2,2,1,2,1,2,1958,  ,1,2,1,2,1, ,12,2,2,1,1,112,6,45,5,1,2,1,1,1,2,2,100, ,100,100,26.67,2,34
124,3,7,3500,2,2,25,1,1,2,2,2,2,5,1,1934,  ,2, ,3,3,2,2,12,2,2,1,1,84,5,3,2,1,2,1,1,1,2,2,100, ,88,100,5570.99,2,15
125,3,5,37500,5,4,13,1,1,2,2,2,1,3,3,1965,  ,2, ,1,2,1, ,12,2,2,1,1,70,5,15,4,1,1,1,2,2,2,2,80, ,80,80,182.58,1,33
126,4,9,30000,5,2,5,1,2,2,2,2,2,4,1,1921,  ,2, ,1,2,2,2,12,2,2,1,2,50,4,40,5,2,2,1,2,2,2,2,   , ,10,100,185.69,2,36
127,3,5,120000,7,7,25,1,2,2,2,2,2,3,1,1993,  ,2, ,2,3,2,2,12,2,1, , ,168,7,344,8,1,2,1,1,1,2,2,100, ,100,100,141.67,1,14
128,4,8,15000,4,3,14,1,1,2,2,2,2,2,3,1957,  ,2, ,1,2,2,2,10,2,2,1,2,40,3,5,3,1,1,1,1,1,2,2,100, ,33,33,2898.57,2,35
129,3,7,110000,7,4,18,1,1,2,2,1,2,5,4,1960,  ,2, ,1,2,1, ,12,2,1, , ,168,7,126,7,1,2,1,1,1,2,2,100, ,100,100,31.41,2,42
130,2,3,9000,3,1,12,1,1,2,2,2,2,1,2,1890,  ,2, ,1,2,1, ,12,2,2,3,1,3,2,8,3,1,2,2,1,2,2,2,100, ,   ,90,461.36,1,2
131,1,1,100001,7,7,25,1,1,2,2,2,2,2,1,1995,  ,2, ,1,2,2,2,12,2,2,1,1,113,6,150,7,1,2,1,2,2,2,1,100, ,100,100,34.55,2,20
132,3,7,15000,4,4,13,1,1,2,2,2,2,4,1,1965,  ,2, ,1,2,1, ,10,2,2,1,1,40,3,1,2,1,2,1,1,2,2,2,100, ,100,80,2741.21,2,3
133,2,4,13750,4,3,1,1,2,2,2,2,2,3,1,1949,  ,2, ,1,2,1, ,0,1, , , ,0,1,0,1,1,2,2,1,2,2,2,30, ,   ,   ,518.39,2,41
134,4,9,10000,3,5,13,1,1,2,2,2,2,4,2,1977,  ,2, ,1,2,2,2,12,2,2,1,1,103,6,2,2,2,2,1,1,2,2,2,   , ,100,100,709.42,1,41
135,3,6,5500,3,4,8,1,1,2,2,2,2,4,1,1961,  ,2, ,5,3,1, ,12,2,2,1,2,45,3,35,5,1,1,1,1,2,2,2,100, ,100,100,352.83,1,39
136,2,3,5000,2,7,5,1,2,2,1,2,2,2,1,1994,  ,2, ,1,2,1, ,12,2,2,1,1,5,2,1,2,1,2,2,2,2,2,2,10, ,   ,10,13279.23,1,26
137,3,6,18750,4,3,12,1,1,2,2,2,2,5,2,1947,  ,2, ,1,2,1, ,12,2,2,2,1,10,2,5,3,1,2,1,1,2,2,2,100, ,100,100,449.97,2,2
138,4,9,300000,8,8,7,1,1,1,2,2,2,3,4,1998,  ,1,3,2,3,2,1,12,2,1, , ,168,7,178,7,1,1,1,1,1,1,1,100, ,100,100,28.25,1,29
139,2,3,300000,8,7,91,1,1,2,1,2,2,2,3,1993,  ,2, ,1,2,1, ,12,2,2,1,2,120,6,160,7,2,2,2,2,2,1,2,   , ,   ,100,91.57,1,21
140,4,9,300000,8,4,1,1,2,2,2,1,2,3,4,1961,  ,2, ,5,3,2,1,12,1,2,1,2,22,2,3,2,1,2,2,2,2,2,2,100, ,   ,25,14.12,1,29
