PUBID7   ,REGION7  ,CENDIV7  ,SQFT7    ,SQFTC7   ,YRCONC7  ,PBA7     ,ELUSED7  ,NGUSED7  ,FKUSED7  ,PRUSED7  ,STUSED7  ,HWUSED7  ,CLIMATE7 ,NFLOOR7  ,YRCON7   ,MONCON7  ,GOVOWN7  ,GOVTYP7  ,NOCC7    ,NOCCAT7  ,OWNOCC7  ,OWNREP7  ,MONUSE7  ,PORVAC7  ,OPEN247  ,OPNMF7   ,OPNWE7   ,WKHRS7   ,WKHRSC7  ,NWKER7   ,NWKERC7  ,HT17     ,HT27     ,COOL7    ,WATR7    ,COOK7    ,MANU7    ,GENR7    ,HEATP7   ,HTLS507  ,COOLP7   ,LTOHRP7  ,ADJWT7   ,PAIR7    ,STRATUM7
2439,3,6,110000,7,4,2,1,2,1,2,1,2,4,7,1964,  ,1,1,9,4,2,2,12,2,2,1,2,60,4,294,8,1,1,1,1,2,2,1,100, ,100,100,34.17,2,39
2440,2,3,2250,2,4,26,1,1,2,2,2,2,3,1,1964,  ,2, ,1,2,2,2,12,2,2,1,1,63,5,7,3,1,2,1,1,2,2,2,100, ,100,100,6388.07,2,16
2441,3,5,21250,4,4,91,1,2,1,2,2,2,4,1,1968,  ,2, ,1,2,1, ,12,2,2,1,2,40,3,12,4,1,2,1,1,2,2,1,1, ,99,80,208.38,1,5
2442,3,7,5000,2,6,5,1,2,2,2,2,2,5,1,1982,  ,2, ,1,2,2,2,12,1,2,1,1,40,3,3,2,1,2,1,2,2,2,2,100, ,15,15,431.03,1,4
2443,4,8,8000,3,5,26,1,1,2,1,2,2,2,1,1970,  ,2, ,1,2,2,2,12,2,2,1,2,45,3,7,3,1,1,1,1,2,1,2,100, ,100,100,428.68,1,30
2444,2,3,5000,2,5,26,1,1,2,2,2,2,2,1,1975,  ,2, ,1,2,2,2,12,2,2,1,2,45,3,4,2,1,1,1,1,2,2,2,33, ,33,100,428.68,1,7
2445,3,5,30000,5,5,13,1,2,2,2,2,2,5,1,1977,  ,2, ,1,2,1, ,12,2,2,2,1,80,5,10,4,2,2,1,1,2,2,2,   , ,100,75,541.3,1,1
2446,3,7,325000,8,4,13,1,2,2,2,1,2,5,5,1960,  ,1,2,2,3,2,2,12,2,2,1,1,112,6,100,7,1,2,1,2,2,2,2,100, ,92,92,18.1,1,42
2447,1,1,120000,7,4,14,1,1,1,1,2,2,2,3,1960,  ,1,3,1,2,1, ,10,2,2,1,1,48,3,103,7,1,1,1,1,1,2,2,100, ,30,100,114.4,2,42
2448,4,9,50000,5,7,8,1,1,2,2,2,2,4,2,1995,  ,2, ,3,3,2,2,12,2,2,1,2,50,4,75,6,1,2,1,1,2,2,2,100, ,100,100,174.49,2,21
2449,3,5,130000,7,8,14,1,2,2,1,2,2,5,1,1998,  ,1,3,1,2,1, ,12,2,2,1,2,50,4,80,6,1,2,1,1,1,2,2,1, ,100,100,34.28,2,40
2450,4,9,32500,5,4,5,1,1,2,2,2,2,4,1,1967,  ,2, ,10,4,2,2,12,1,2,1,2,55,4,200,7,2,2,2,1,2,2,2,   , ,   ,100,203.96,1,21
2451,2,3,11250,4,5,12,1,2,2,1,2,2,2,1,1979,  ,2, ,1,2,1, ,12,2,2,2,1,6,2,1,2,1,2,1,1,2,2,2,100, ,100,100,5670.63,1,26
2452,4,9,95000,6,7,14,1,1,2,2,2,2,3,2,1995,  ,1,3,1,2,1, ,12,2,2,1,1,85,6,46,5,1,1,1,1,1,2,2,90, ,100,100,118.21,1,29
2453,1,2,55000,6,4,23,1,1,2,2,2,2,3,2,1964,  ,2, ,5,3,2,2,12,1,2,1,1,79,5,27,5,1,2,1,1,1,2,2,77, ,77,77,216.71,2,18
2454,2,4,130000,7,6,14,1,1,1,1,2,2,1,3,1988,  ,1,2,1,2,1, ,12,2,2,1,2,40,3,88,6,1,1,1,1,1,2,2,100, ,20,100,384.62,1,31
