PUBID7   ,REGION7  ,CENDIV7  ,SQFT7    ,SQFTC7   ,YRCONC7  ,PBA7     ,ELUSED7  ,NGUSED7  ,FKUSED7  ,PRUSED7  ,STUSED7  ,HWUSED7  ,FKTYPFO7 ,FKTYPDS7 ,FKTYPKR7 ,ABLEGEN7 ,ELHT17   ,NGHT17   ,FKHT17   ,PRHT17   ,STHT17   ,HWHT17   ,ELHT27   ,NGHT27   ,FKHT27   ,PRHT27   ,STHT27   ,HWHT27   ,ELCOOL7  ,NGCOOL7  ,FKCOOL7  ,PRCOOL7  ,STCOOL7  ,HWCOOL7  ,ELWATR7  ,NGWATR7  ,FKWATR7  ,PRWATR7  ,STWATR7  ,HWWATR7  ,ELCOOK7  ,NGCOOK7  ,FKCOOK7  ,PRCOOK7  ,STCOOK7  ,HWCOOK7  ,ELMANU7  ,NGMANU7  ,FKMANU7  ,PRMANU7  ,STMANU7  ,HWMANU7  ,NGGENR7  ,FKGENR7  ,PRGENR7  ,GENUSE7  ,NGOTH7   ,FKOTH7   ,PROTH7   ,STOTH7   ,HWOTH7   ,ELLOCUT7 ,ELNONLU7 ,ELOTSRC7 ,ELLUPCT7 ,NGLOCUT7 ,NGOTSRC7 ,ADJWT7   ,PAIR7    ,STRATUM7
03804,3,7,  32500.00,05,05,14,1,1,2,2,2,2, , , ,2,2,1, , , , ,1,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  147.14,1,03
03805,2,3,   5000.00,02,04,91,1,1,2,2,2,2, , , ,2,2,1, , , , ,1,2, , , , ,1,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  633.02,1,09
03806,4,9,  80000.00,06,03,05,1,2,2,2,2,2, , , ,2,2, , , , , ,2, , , , , ,2, , , , , ,1, , , , , ,2, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,  147.38,2,35
03807,4,9,   5500.00,03,03,26,1,2,2,2,2,2, , , ,2,2, , , , , ,2, , , , , ,2, , , , , ,2, , , , , ,2, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , , 6072.75,2,38
03808,3,7,   3500.00,02,01,25,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  188.65,2,27
03809,3,6,  30000.00,05,05,05,1,2,2,2,2,2, , , ,2,2, , , , , ,2, , , , , ,2, , , , , ,2, , , , , ,2, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,  185.56,2,39
03810,3,5,  60000.00,06,08,02,1,1,2,2,2,2, , , ,2,2,1, , , , ,1,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  178.64,1,14
03811,3,5, 250000.00,08,07,23,1,2,2,1,2,2, , , ,1,1, , ,2, , ,2, , ,2, , ,1, , ,2, , ,1, , ,2, , ,2, , ,2, , ,2, , ,2, , , , ,1,1, , , , , ,1,2,2,   , , ,   36.41,1,38
03812,3,7, 300000.00,08,02,05,1,2,2,2,2,2, , , ,2,2, , , , , ,2, , , , , ,1, , , , , ,2, , , , , ,2, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,   84.99,1,12
03813,3,7,  75000.00,06,01,05,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,   47.28,1,42
