PUBID7   ,REGION7  ,CENDIV7  ,SQFT7    ,SQFTC7   ,YRCONC7  ,PBA7     ,ELUSED7  ,NGUSED7  ,FKUSED7  ,PRUSED7  ,STUSED7  ,HWUSED7  ,FKTYPFO7 ,FKTYPDS7 ,FKTYPKR7 ,ABLEGEN7 ,ELHT17   ,NGHT17   ,FKHT17   ,PRHT17   ,STHT17   ,HWHT17   ,ELHT27   ,NGHT27   ,FKHT27   ,PRHT27   ,STHT27   ,HWHT27   ,ELCOOL7  ,NGCOOL7  ,FKCOOL7  ,PRCOOL7  ,STCOOL7  ,HWCOOL7  ,ELWATR7  ,NGWATR7  ,FKWATR7  ,PRWATR7  ,STWATR7  ,HWWATR7  ,ELCOOK7  ,NGCOOK7  ,FKCOOK7  ,PRCOOK7  ,STCOOK7  ,HWCOOK7  ,ELMANU7  ,NGMANU7  ,FKMANU7  ,PRMANU7  ,STMANU7  ,HWMANU7  ,NGGENR7  ,FKGENR7  ,PRGENR7  ,GENUSE7  ,NGOTH7   ,FKOTH7   ,PROTH7   ,STOTH7   ,HWOTH7   ,ELLOCUT7 ,ELNONLU7 ,ELOTSRC7 ,ELLUPCT7 ,NGLOCUT7 ,NGOTSRC7 ,ADJWT7   ,PAIR7    ,STRATUM7
00001,4,9, 225000.00,08,06,08,1,2,2,2,1,2, , , ,1,2, , , ,1, ,2, , , ,2, ,2, , , ,2, ,2, , , ,1, ,2, , , ,2, ,2, , , ,2, , , , , , , , , , ,1,2,2,   , , ,   88.72,2,16
00002,2,3, 425000.00,08,07,07,1,1,1,2,2,1,1,2,2,1,2,2,2, , ,1,1,2,2, , ,2,2,2,2, , ,2,2,2,2, , ,1,1,1,2, , ,2,2,2,2, , ,2,2,1, ,2, , , , , ,2,1,2,   ,2,1,   14.49,1,41
00003,2,4,  60000.00,06,06,02,1,1,1,2,2,2,1,2,2,1,2,1,2, , , ,1,2,2, , , ,1,2,2, , , ,1,2,2, , , ,2,2,2, , , ,2,2,2, , , ,2,1, ,1, , , , , ,1,2,2,   ,1,2,  628.33,2,36
00004,2,3,   2750.00,02,06,02,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  464.75,1,07
00005,2,3,  30000.00,05,04,12,1,1,2,2,2,2, , , ,2,2,1, , , , ,1,2, , , , ,1,2, , , , ,2,1, , , , ,2,1, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  558.67,1,07
00006,3,5, 180000.00,07,06,02,1,2,2,2,2,2, , , ,1,1, , , , , ,2, , , , , ,1, , , , , ,1, , , , , ,1, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,   36.68,2,08
00007,3,6,  50001.00,06,06,02,1,1,2,2,2,2, , , ,2,2,1, , , , ,1,2, , , , ,1,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  264.22,1,39
00008,2,3,  10001.00,04,04,26,1,1,2,2,2,2, , , ,2,2,1, , , , ,1,2, , , , ,1,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,9,9,  173.89,2,26
00009,3,5,  60000.00,06,06,17,1,1,1,2,2,2,2,1,2,1,1,2,2, , , ,2,2,2, , , ,1,2,2, , , ,2,1,2, , , ,2,1,2, , , ,2,2,2, , , ,2,1, ,1, , , , , ,1,2,2,   ,1,2,  192.41,1,38
00010,3,7, 100001.00,07,04,14,1,2,2,2,1,2, , , ,2,2, , , ,1, ,2, , , ,2, ,2, , , ,2, ,2, , , ,1, ,2, , , ,2, ,2, , , ,2, , , , , , , , , , ,1,2,2,   , , ,   27.84,2,42
00011,4,9,  40000.00,05,05,02,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,2,1, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  152.37,1,17
00012,4,8,   5500.00,03,04,15,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,2,1, , , , ,2,1, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2, 3494.37,2,42
00013,2,3,  95000.00,06,05,23,1,1,2,2,2,2, , , ,2,2,1, , , , ,1,2, , , , ,1,2, , , , ,1,1, , , , ,1,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  156.97,2,34
00014,4,9,  10000.00,03,06,05,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   , , ,  493.51,2,35
00015,3,6,  13750.00,04,06,05,1,1,2,1,2,2, , , ,2,1,2, ,2, , ,2,2, ,2, , ,1,2, ,2, , ,1,2, ,2, , ,2,2, ,2, , ,2,2, ,2, , ,2, ,2, ,1, ,1, , ,1,2,2,   ,1,2,  493.51,2,39
00016,3,5,  50001.00,06,02,14,1,1,2,2,2,2, , , ,2,1,2, , , , ,2,2, , , , ,1,2, , , , ,1,2, , , , ,1,1, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  118.21,2,40
00017,2,4,   6500.00,03,03,05,1,1,2,2,2,2, , , ,2,1,2, , , , ,2,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,1,1, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  475.78,1,18
00018,2,3,  18750.00,04,06,17,1,1,2,2,2,2, , , ,1,2,1, , , , ,2,2, , , , ,1,2, , , , ,2,1, , , , ,2,1, , , , ,2,2, , , , ,1, , ,1, , , , , ,1,2,2,   ,1,2,  497.28,1,14
00019,3,7,  75000.00,06,04,14,1,1,2,2,2,2, , , ,2,1,2, , , , ,2,1, , , , ,1,2, , , , ,2,2, , , , ,1,1, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  118.21,1,33
00020,2,4,   5000.00,02,06,05,1,2,2,2,2,2, , , ,2,1, , , , , ,2, , , , , ,1, , , , , ,1, , , , , ,2, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , , 6693.58,1,31
00021,3,5,   1250.00,02,03,25,1,2,2,1,2,2, , , ,2,2, , ,1, , ,2, , ,2, , ,1, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , , ,2, , , , , , ,1,2,2,   , , , 5764.94,1,43
00022,2,4,   5500.00,03,01,01,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   , , , 5685.60,2,23
00023,2,4,  17500.00,04,04,25,1,1,2,2,2,2, , , ,2,2,1, , , , ,1,2, , , , ,1,1, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,9,9,  478.12,1,13
00024,3,5,  40000.00,05,07,25,1,2,2,2,2,2, , , ,2,1, , , , , ,2, , , , , ,1, , , , , ,1, , , , , ,2, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,  662.11,1,38
00025,3,7,   2500.00,02,05,13,1,1,2,2,2,2, , , ,2,2,1, , , , ,1,2, , , , ,1,1, , , , ,2,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2, 5984.84,2,33
00026,3,5,  47500.00,05,06,91,1,2,2,2,2,2, , , ,2,1, , , , , ,2, , , , , ,1, , , , , ,1, , , , , ,2, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,  186.76,2,26
00027,3,7, 120000.00,07,02,05,1,2,2,2,2,2, , , ,2,1, , , , , ,2, , , , , ,1, , , , , ,1, , , , , ,2, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,   91.15,1,21
00028,3,5,   6500.00,03,05,05,1,1,1,2,2,2,1,2,2,2,1,2,2, , , ,2,1,1, , , ,1,2,2, , , ,1,2,2, , , ,2,2,2, , , ,2,2,2, , , ,2,2, , , , , , , ,1,2,2,   ,1,2,  391.42,2,14
00029,3,5,  35000.00,05,03,05,1,2,2,2,2,2, , , ,2,1, , , , , ,2, , , , , ,1, , , , , ,1, , , , , ,2, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,  294.87,2,38
00030,4,9,  60000.00,06,08,05,1,1,2,2,2,2, , , ,2,1,2, , , , ,2,2, , , , ,1,2, , , , ,2,1, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  162.06,1,15
00031,4,9,  23750.00,04,03,05,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,2,1, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  171.45,2,36
00032,3,5,   3000.00,02,02,12,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2, 5670.63,2,43
00033,4,8,  45000.00,05,02,14,1,1,2,2,2,2, , , ,1,2,1, , , , ,1,2, , , , ,2,2, , , , ,2,1, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  400.44,2,35
00034,4,9,   6500.00,03,03,14,1,1,2,2,2,2, , , ,2,2,1, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2, 2741.21,1,21
00035,1,2, 325000.00,08,04,13,1,2,1,2,1,2,1,2,2,1,2, ,2, ,1, ,1, ,2, ,2, ,1, ,2, ,2, ,2, ,2, ,1, ,1, ,2, ,2, ,1, ,2, ,2, , ,1, ,1, , , , , ,1,1,2,999, , ,   34.17,1,17
00036,4,9,  10000.00,03,04,02,1,2,2,2,2,1, , , ,2,1, , , , ,2,2, , , , ,1,1, , , , ,2,1, , , , ,2,1, , , , ,2,2, , , , ,2, , , , , , , , , ,1,2,2,   , , ,  352.83,2,03
00037,1,2,  50001.00,06,04,13,1,2,2,2,2,2, , , ,1,1, , , , , ,2, , , , , ,1, , , , , ,1, , , , , ,2, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,  436.16,1,09
00038,4,8,  32500.00,05,05,08,1,2,2,2,2,2, , , ,2,1, , , , , ,2, , , , , ,1, , , , , ,1, , , , , ,2, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,  401.51,2,42
00039,1,2,  30000.00,05,07,08,1,2,1,2,1,2,7,7,7,1,2, ,2, ,1, ,2, ,2, ,2, ,1, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, , ,1, ,1, , , , , ,2,1,2,   , , ,  142.40,2,27
00040,3,7,  12500.00,04,06,15,1,2,2,2,2,2, , , ,2,1, , , , , ,2, , , , , ,1, , , , , ,1, , , , , ,1, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,  497.28,1,42
00041,2,3,  30000.00,05,06,23,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,2,1, , , , ,2,1, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  136.39,1,25
00042,4,8,1400000.00,10,06,02,1,2,1,2,1,2,7,7,7,1,1, ,2, ,2, ,2, ,2, ,1, ,1, ,2, ,2, ,1, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, , ,1, ,1, , , , , ,1,2,2,   , , ,    5.27,1,34
00043,4,8,  55000.00,06,04,12,1,1,2,2,2,2, , , ,1,2,1, , , , ,1,2, , , , ,1,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  282.26,2,10
00044,4,8,   1250.00,02,07,06,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,2,1, , , , ,2,1, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,12791.31,1,22
00045,3,5,  32500.00,05,06,02,1,2,2,2,2,2, , , ,2,1, , , , , ,2, , , , , ,1, , , , , ,1, , , , , ,2, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,  181.86,1,44
00046,1,2, 110000.00,07,01,02,1,2,1,2,2,2,1,2,2,2,2, ,1, , , ,1, ,2, , , ,1, ,2, , , ,2, ,1, , , ,2, ,2, , , ,2, ,2, , , , ,2, , , , , , , ,2,2,1,   , , ,   36.68,1,34
00047,3,6,  30000.00,05,05,05,1,1,2,2,2,2, , , ,2,1,2, , , , ,2,1, , , , ,1,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  159.46,1,39
00048,2,3,   3750.00,02,02,01,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   , , , 7197.04,2,16
00049,1,1,  75000.00,06,02,02,1,2,1,2,2,2,1,2,2,2,2, ,1, , , ,1, ,2, , , ,1, ,2, , , ,2, ,1, , , ,2, ,2, , , ,2, ,2, , , , ,2, , , , , , , ,1,2,2,   , , ,  488.62,2,36
00050,2,3,1000000.00,09,04,16,1,1,1,2,2,2,2,1,2,1,2,1,2, , , ,2,2,1, , , ,1,2,2, , , ,2,1,1, , , ,1,1,2, , , ,2,2,2, , , ,2,1, ,1, , , , , ,2,2,1,   ,2,1,   14.51,2,32
00051,3,5, 275000.00,08,05,13,1,1,1,2,2,2,1,2,2,1,2,2,2, , , ,2,2,2, , , ,1,2,2, , , ,2,2,2, , , ,1,1,2, , , ,2,2,2, , , ,2,1, ,1, , , , , ,1,2,2,   ,1,2,  108.91,1,13
00052,3,7,  70000.00,06,04,16,1,2,2,2,1,1, , , ,1,2, , , ,1,2,2, , , ,2,1,2, , , ,2,2,2, , , ,1,2,2, , , ,1,2,2, , , ,2,2, , , , , , , , , ,1,2,2,   , , ,  181.07,2,11
00053,3,6,  13750.00,04,08,08,1,2,1,2,2,2,7,7,7,1,1, ,2, , , ,2, ,2, , , ,1, ,2, , , ,1, ,2, , , ,2, ,2, , , ,2, ,2, , , , ,1, ,1, , , , , ,1,2,2,   , , ,  452.42,1,39
00054,4,8,   1750.00,02,03,02,1,1,2,2,2,2, , , ,2,2,1, , , , ,1,2, , , , ,1,2, , , , ,2,1, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  428.68,2,30
00055,2,3,  11250.00,04,05,26,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,2,1, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  648.22,2,23
00056,3,6, 350000.00,08,07,13,1,1,1,1,2,2,2,1,2,1,2,1,2,2, , ,2,2,2,2, , ,1,2,2,2, , ,2,1,2,2, , ,2,1,2,1, , ,2,2,2,2, , ,2,1,2,1, , , , , ,1,2,2,   ,1,2,   16.64,2,02
00057,2,4, 150000.00,07,06,05,1,1,1,2,2,2,1,2,2,2,2,1,2, , , ,2,2,1, , , ,1,2,2, , , ,2,1,2, , , ,2,2,2, , , ,1,1,1, , , ,2,2, , , , , , , ,1,2,2,   ,1,2,  515.96,2,36
00058,3,7, 110000.00,07,03,91,1,1,1,2,2,2,2,1,2,1,2,1,2, , , ,2,2,2, , , ,1,2,2, , , ,2,1,2, , , ,2,2,2, , , ,2,2,2, , , ,2,1, ,1, , , , , ,1,2,2,   ,1,2,   96.61,1,03
00059,3,5,  50001.00,06,08,02,1,2,2,2,2,2, , , ,2,2, , , , , ,2, , , , , ,1, , , , , ,1, , , , , ,2, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,  152.41,2,40
00060,1,2,  20000.00,04,06,23,1,2,2,1,2,2, , , ,2,1, , ,2, , ,2, , ,2, , ,1, , ,2, , ,1, , ,1, , ,1, , ,1, , ,2, , ,2, , , , ,2, , , , , , ,1,2,2,   , , ,  432.28,1,37
00061,3,5,   4750.00,02,05,26,1,2,2,2,2,2, , , ,2,1, , , , , ,2, , , , , ,1, , , , , ,1, , , , , ,2, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,  508.07,1,40
00062,4,8,  90000.00,06,01,13,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,1,1, , , , ,1,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  158.01,2,10
00063,3,6, 180000.00,07,04,05,1,1,2,2,2,2, , , ,1,1,2, , , , ,2,1, , , , ,1,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,2,1,   27.35,2,02
00064,2,4,  75000.00,06,06,13,1,1,2,2,2,2, , , ,2,1,2, , , , ,2,2, , , , ,1,2, , , , ,2,1, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  130.15,2,18
00065,3,7, 350000.00,08,08,02,1,2,1,2,2,2,2,1,2,1,1, ,2, , , ,2, ,2, , , ,1, ,2, , , ,1, ,2, , , ,2, ,2, , , ,2, ,2, , , , ,1, ,1, , , , , ,1,2,2,   , , ,   20.92,2,25
00066,2,3, 400000.00,08,08,05,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,   21.41,1,07
00067,2,3, 475000.00,08,07,02,1,2,2,2,2,2, , , ,2,1, , , , , ,2, , , , , ,1, , , , , ,1, , , , , ,2, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,   15.37,1,44
00068,4,9,   7500.00,03,07,05,1,1,2,2,2,2, , , ,2,2,1, , , , ,1,2, , , , ,2,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  937.32,1,43
00069,3,7, 150000.00,07,07,02,1,2,1,2,2,2,2,1,2,1,1, ,2, , , ,2, ,2, , , ,1, ,2, , , ,1, ,2, , , ,2, ,2, , , ,2, ,2, , , , ,1, ,1, , , , , ,1,2,2,   , , ,   99.49,2,21
00070,3,5, 500000.00,08,08,02,1,1,1,2,2,2,7,7,7,1,1,2,2, , , ,2,2,2, , , ,1,2,2, , , ,1,2,2, , , ,1,1,2, , , ,2,2,2, , , ,2,1, ,1, , , , , ,9,9,9,   ,9,9,    9.03,1,01
00071,4,8,  17500.00,04,06,14,1,2,2,2,2,2, , , ,2,1, , , , , ,2, , , , , ,1, , , , , ,1, , , , , ,2, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,  221.07,1,32
00072,4,9,  50001.00,06,03,05,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  142.27,2,36
00073,1,2,   7500.00,03,01,13,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,2,1, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2, 2741.21,1,37
00074,4,8,  35000.00,05,08,05,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,2,1, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  202.10,2,31
00075,3,7,   7500.00,03,05,02,1,2,2,2,2,2, , , ,2,1, , , , , ,2, , , , , ,1, , , , , ,1, , , , , ,2, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,  485.29,1,33
00076,1,2,1800000.00,10,03,13,1,1,1,2,1,2,2,1,2,1,2,2,2, ,1, ,2,2,2, ,2, ,1,2,2, ,2, ,2,2,2, ,1, ,1,1,2, ,2, ,2,2,2, ,2, ,2,1, ,1, , , , , ,1,2,2,   ,1,2,   40.15,1,34
00077,4,8,   1750.00,02,04,05,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2, 5984.84,2,30
00078,3,6, 190000.00,07,06,02,1,1,1,1,2,2,2,1,2,1,2,1,2,2, , ,1,2,2,2, , ,1,2,2,2, , ,1,1,2,2, , ,1,1,2,1, , ,1,2,2,2, , ,2,1,2,1, , , , , ,1,2,2,   ,1,2,   91.57,2,39
00079,4,8,   2750.00,02,04,01,1,1,2,2,2,2, , , ,2,2,1, , , , ,1,2, , , , ,1,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2, 6693.58,1,10
00080,1,2,  65000.00,06,03,18,1,2,2,2,1,2, , , ,2,2, , , ,1, ,2, , , ,2, ,1, , , ,2, ,2, , , ,1, ,2, , , ,2, ,2, , , ,2, , , , , , , , , , ,2,1,2,   , , ,  185.83,2,09
00081,2,3, 170000.00,07,04,14,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,2,1, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,   96.65,2,22
00082,4,8,   1250.00,02,05,25,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2, 6071.45,2,30
00083,4,9, 850000.00,09,03,16,1,2,1,2,1,2,2,1,2,1,2, ,2, ,1, ,2, ,2, ,2, ,1, ,2, ,2, ,2, ,2, ,1, ,2, ,2, ,2, ,2, ,2, ,2, , ,1, ,1, , , , , ,1,2,2,   , , ,    7.77,1,01
00084,2,4,  20000.00,04,02,14,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,2,1, , , , ,2,1, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  173.78,2,42
00085,3,5, 200000.00,07,08,02,1,1,1,2,2,2,2,1,2,1,1,2,2, , , ,2,2,2, , , ,2,2,2, , , ,1,2,2, , , ,1,1,2, , , ,2,2,2, , , ,2,1, ,1, , , , , ,1,2,2,   ,1,2,   43.63,2,17
00086,4,9,   3250.00,02,04,18,1,1,2,2,2,2, , , ,2,1,2, , , , ,2,2, , , , ,1,2, , , , ,2,1, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  524.16,2,10
00087,2,4,  15000.00,04,07,08,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,2,1, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  709.42,2,24
00088,1,2, 800000.00,09,05,02,1,1,1,2,2,2,2,2,1,1,2,1,2, , , ,2,2,2, , , ,1,2,2, , , ,1,2,2, , , ,1,1,2, , , ,2,2,2, , , ,2,1, ,3, , , , , ,1,2,2,   ,1,2,    8.83,1,05
00089,3,5, 425000.00,08,06,02,1,1,1,2,2,2,1,2,2,1,1,2,2, , , ,2,2,2, , , ,1,2,2, , , ,1,2,2, , , ,1,1,2, , , ,2,2,2, , , ,2,1, ,1, , , , , ,1,2,2,   ,1,2,   36.68,2,08
00090,4,8,  27500.00,05,04,18,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,2,1, , , , ,1,1, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  737.64,1,30
00091,3,5,   3500.00,02,05,26,1,2,1,2,2,2,1,2,2,2,2, ,1, , , ,1, ,2, , , ,1, ,2, , , ,1, ,2, , , ,2, ,2, , , ,2, ,2, , , , ,2, , , , , , , ,1,2,2,   , , ,  698.25,2,24
00092,3,5,  27500.00,05,05,13,1,2,2,2,2,2, , , ,1,1, , , , , ,2, , , , , ,1, , , , , ,1, , , , , ,1, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,  235.67,1,38
00093,2,3,   7500.00,03,01,01,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,2,1, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  113.02,2,02
00094,3,7,  17500.00,04,03,05,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,1,2, , , , ,2,2, , , , ,1,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  236.58,1,15
00095,3,7,  65000.00,06,04,25,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  181.53,1,03
00096,3,5,  21250.00,04,03,14,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  173.78,2,43
00097,3,5,  50000.00,05,05,12,1,1,2,2,2,2, , , ,2,2,1, , , , ,1,2, , , , ,1,2, , , , ,2,1, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  243.31,2,31
00098,3,7,   3000.00,02,01,05,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,2,2, , , , ,2,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  431.03,2,33
00099,1,2,   3750.00,02,02,18,1,2,2,2,1,2, , , ,2,2, , , ,1, ,2, , , ,2, ,2, , , ,2, ,2, , , ,1, ,2, , , ,2, ,2, , , ,2, , , , , , , , , , ,1,2,2,   , , , 3494.25,2,37
00100,1,2, 130000.00,07,05,05,1,1,1,2,2,2,1,2,2,2,2,1,2, , , ,1,2,1, , , ,1,2,2, , , ,2,1,1, , , ,2,2,2, , , ,2,2,2, , , ,2,2, , , , , , , ,1,2,2,   ,2,1,   36.04,1,28
00101,2,3,  35000.00,05,04,14,1,1,2,2,2,2, , , ,2,2,1, , , , ,1,2, , , , ,1,2, , , , ,2,1, , , , ,2,1, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  147.14,1,22
00102,4,9,  10001.00,04,04,02,1,2,2,2,2,2, , , ,2,1, , , , , ,2, , , , , ,1, , , , , ,1, , , , , ,2, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,  352.83,2,41
00103,3,6,  42500.00,05,06,05,1,2,2,2,2,2, , , ,2,2, , , , , ,2, , , , , ,2, , , , , ,2, , , , , ,2, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,  230.47,2,01
00104,3,7,   1500.00,02,06,26,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2, 5764.94,2,04
00105,1,2,  10000.00,03,02,15,1,2,1,2,2,2,1,2,2,2,2, ,1, , , ,2, ,2, , , ,2, ,2, , , ,2, ,1, , , ,1, ,2, , , ,2, ,2, , , , ,2, , , , , , , ,1,1,1,100, , ,  437.18,1,23
00106,3,7, 300000.00,08,04,02,1,1,2,2,2,2, , , ,2,1,2, , , , ,2,1, , , , ,1,2, , , , ,2,1, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,1,   18.93,2,18
