PUBID7   ,REGION7  ,CENDIV7  ,SQFT7    ,SQFTC7   ,YRCONC7  ,PBA7     ,ELUSED7  ,NGUSED7  ,FKUSED7  ,PRUSED7  ,STUSED7  ,HWUSED7  ,ADJWT7   ,PAIR7    ,STRATUM7 ,HDD657   ,CDD657   ,MFUSED7  ,MFBTU7   ,MFEXP7   ,ELCNS7   ,ELBTU7   ,ELEXP7   ,zelcns7  ,zelexp7
00001,4,9, 225000.00,08,06,08,1,2,2,2,1,2,   88.72,2,16,  1914,   751,1,          18102189,    329544,        3787570,          12923189,    304943,0,0
00002,2,3, 425000.00,08,07,07,1,1,1,2,2,1,   14.49,1,41,  5961,   889,1,         140265002,   1030508,        7454641,          25435235,    440019,0,0
00003,2,4,  60000.00,06,06,02,1,1,1,2,2,2,  628.33,2,36,  5546,   944,1,           9888362,    161756,        2608409,           8899892,    157584,0,0
00004,2,3,   2750.00,02,06,02,1,1,2,2,2,2,  464.75,1,07,  5284,  1023,1,            190632,      3201,          33192,            113251,      2667,0,0
00005,2,3,  30000.00,05,04,12,1,1,2,2,2,2,  558.67,1,07,  5284,  1023,1,           1913573,     27257,         311759,           1063722,     22532,3,0
00006,3,5, 180000.00,07,06,02,1,2,2,2,2,2,   36.68,2,08,  4682,   988,1,          29797893,    417944,        8733263,          29797893,    417944,0,0
00007,3,6,  50001.00,06,06,02,1,1,2,2,2,2,  264.22,1,39,  3700,  1122,1,           2118194,     37125,         508136,           1733760,     34063,3,0
00008,2,3,  10001.00,04,04,26,1,1,2,2,2,2,  173.89,2,26,  5771,   889,1,            812724,     12380,         153662,            524295,     10625,0,0
00009,3,5,  60000.00,06,06,17,1,1,1,2,2,2,  192.41,1,38,  1074,  2702,1,           4905939,     85430,        1045475,           3567161,     75911,0,0
00010,3,7, 100001.00,07,04,14,1,2,2,2,1,2,   27.84,2,42,  1818,  2596,1,          27126513,    127724,        1540889,           5257513,     62768,0,0
00011,4,9,  40000.00,05,05,02,1,1,2,2,2,2,  152.37,1,17,  2906,   190,1,           4199389,     96837,         956300,           3262896,     90909,0,0
00012,4,8,   5500.00,03,04,15,1,1,2,2,2,2, 3494.37,2,42,  2097,  1918,1,            849221,     21058,         160559,            547827,     18049,3,0
00013,2,3,  95000.00,06,05,23,1,1,2,2,2,2,  156.97,2,34,  7065,   623,1,           8861240,    120808,        1353324,           4617541,    100133,3,0
00014,4,9,  10000.00,03,06,05,2,2,2,2,2,2,  493.51,2,35,  3900,   178,2,                  ,          ,               ,                  ,          ,9,9
00015,3,6,  13750.00,04,06,05,1,1,2,1,2,2,  493.51,2,39,  2706,  1895,1,           1097845,     17953,         281559,            960679,     16950,3,3
00016,3,5,  50001.00,06,02,14,1,1,2,2,2,2,  118.21,2,40,    97,  4143,1,           3134195,     63510,         847497,           2891660,     61952,0,0
00017,2,4,   6500.00,03,03,05,1,1,2,2,2,2,  475.78,1,18,  7011,   636,1,            684901,      4412,          24066,             82113,      3209,0,0
00018,2,3,  18750.00,04,06,17,1,1,2,2,2,2,  497.28,1,14,  5860,   726,1,           7366480,     78795,         487078,           1661910,     52716,0,0
00019,3,7,  75000.00,06,04,14,1,1,2,2,2,2,  118.21,1,33,  1200,  2774,1,           3428390,     57352,         789021,           2692140,     51734,3,0
00020,2,4,   5000.00,02,06,05,1,2,2,2,2,2, 6693.58,1,31,  7543,   558,1,            165424,      2008,          48483,            165424,      2008,0,0
00021,3,5,   1250.00,02,03,25,1,2,2,1,2,2, 5764.94,1,43,  4732,   624,1,             72123,      2157,          21138,             72123,      2157,0,0
00022,2,4,   5500.00,03,01,01,2,2,2,2,2,2, 5685.60,2,23,  4370,  1365,2,                  ,          ,               ,                  ,          ,9,9
00023,2,4,  17500.00,04,04,25,1,1,2,2,2,2,  478.12,1,13,  5442,  1067,1,            378335,      4248,          29758,            101534,      2948,3,0
00024,3,5,  40000.00,05,07,25,1,2,2,2,2,2,  662.11,1,38,  1074,  2702,1,           1134050,     22785,         332371,           1134050,     22785,0,0
00025,3,7,   2500.00,02,05,13,1,1,2,2,2,2, 5984.84,2,33,  1818,  2596,1,            145125,      2324,          21634,             73815,      1805,3,0
00026,3,5,  47500.00,05,06,91,1,2,2,2,2,2,  186.76,2,26,  4041,  1396,1,           1028807,     23627,         301526,           1028807,     23627,0,0
00027,3,7, 120000.00,07,02,05,1,2,2,2,2,2,   91.15,1,21,   866,  3162,1,           2052141,     50168,         601448,           2052141,     50168,0,0
00028,3,5,   6500.00,03,05,05,1,1,1,2,2,2,  391.42,2,14,  4682,   988,1,            518328,      7302,          58976,            201226,      4765,3,3
00029,3,5,  35000.00,05,03,05,1,2,2,2,2,2,  294.87,2,38,   363,  3331,1,            956854,     18950,         280438,            956854,     18950,0,0
00030,4,9,  60000.00,06,08,05,1,1,2,2,2,2,  162.06,1,15,  1914,   751,1,            309488,     12056,          76652,            261537,     11619,3,0
00031,4,9,  23750.00,04,03,05,1,1,2,2,2,2,  171.45,2,36,  1914,   751,1,            198884,      5415,          34736,            118519,      4813,3,0
00032,3,5,   3000.00,02,02,12,1,1,2,2,2,2, 5670.63,2,43,  2640,  1654,1,            111845,      1190,           5547,             18926,       476,0,0
00033,4,8,  45000.00,05,02,14,1,1,2,2,2,2,  400.44,2,35,  6633,   216,1,           2723869,     21973,         194401,            663296,     12575,3,3
00034,4,9,   6500.00,03,03,14,1,1,2,2,2,2, 2741.21,1,21,  3900,   178,1,            182296,      3970,          31503,            107488,      3449,0,0
00035,1,2, 325000.00,08,04,13,1,2,1,2,1,2,   34.17,1,17,  4985,  1044,1,          34740300,    568398,        5822594,          19866691,    317652,0,0
00036,4,9,  10000.00,03,04,02,1,2,2,2,2,1,  352.83,2,03,  2906,   190,1,            882913,     17625,         110467,            376913,     12854,3,3
00037,1,2,  50001.00,06,04,13,1,2,2,2,2,2,  436.16,1,09,  8223,   260,1,           4916801,    159996,        1441032,           4916801,    159996,0,0
00038,4,8,  32500.00,05,05,08,1,2,2,2,2,2,  401.51,2,42,  2097,  1918,1,           4267184,    110871,        1250640,           4267184,    110871,0,0
00039,1,2,  30000.00,05,07,08,1,2,1,2,1,2,  142.40,2,27,  7084,   385,1,           3202534,     40027,         153839,            524899,     14785,0,0
00040,3,7,  12500.00,04,06,15,1,2,2,2,2,2,  497.28,1,42,  1456,  2634,1,            713395,     15041,         209084,            713395,     15041,3,0
00041,2,3,  30000.00,05,06,23,1,1,2,2,2,2,  136.39,1,25,  5961,   889,1,           2718302,     42666,         499298,           1703605,     37098,3,3
00042,4,8,1400000.00,10,06,02,1,2,1,2,1,2,    5.27,1,34,  6633,   216,1,         106438620,   1659091,       29576729,         100915799,   1601715,0,0
00043,4,8,  55000.00,06,04,12,1,1,2,2,2,2,  282.26,2,10,  5480,   775,1,           2110889,     10409,          24880,             84891,      1796,0,0
00044,4,8,   1250.00,02,07,06,1,1,2,2,2,2,12791.31,1,22,  8176,    54,1,            644762,      9654,         158117,            539495,      9068,0,0
00045,3,5,  32500.00,05,06,02,1,2,2,2,2,2,  181.86,1,44,  3274,  1466,1,           1649432,     29020,         483421,           1649432,     29020,3,0
00046,1,2, 110000.00,07,01,02,1,2,1,2,2,2,   36.68,1,34,  4558,  1123,1,          10361751,    305480,        1540410,           5255879,    281675,0,0
00047,3,6,  30000.00,05,05,05,1,1,2,2,2,2,  159.46,1,39,  3700,  1122,1,            746053,      9574,          98445,            335894,      6547,0,0
00048,2,3,   3750.00,02,02,01,2,2,2,2,2,2, 7197.04,2,16,  4668,  1203,2,                  ,          ,               ,                  ,          ,9,9
00049,1,1,  75000.00,06,02,02,1,2,1,2,2,2,  488.62,2,36,  5124,   768,1,           4479088,     27242,         218062,            744028,      9470,0,0
00050,2,3,1000000.00,09,04,16,1,1,1,2,2,2,   14.51,2,32,  6022,   759,1,         207086190,   1455400,       24774658,          84531133,   1048599,0,0
00051,3,5, 275000.00,08,05,13,1,1,1,2,2,2,  108.91,1,13,    97,  4143,1,          41228866,    635836,       11856660,          40454924,    630444,3,3
00052,3,7,  70000.00,06,04,16,1,2,2,2,1,1,  181.07,2,11,  1818,  2596,1,           6700279,     67411,         395451,           1349279,     16955,0,0
00053,3,6,  13750.00,04,08,08,1,2,1,2,2,2,  452.42,1,39,  3700,  1122,1,           2127812,     40200,         616228,           2102570,     40000,3,3
00054,4,8,   1750.00,02,03,02,1,1,2,2,2,2,  428.68,2,30,  2850,  1494,1,            312976,      4637,          55900,            190731,      3610,3,0
00055,2,3,  11250.00,04,05,26,1,1,2,2,2,2,  648.22,2,23,  6691,   672,1,            914573,     11155,          93490,            318988,      7963,3,3
00056,3,6, 350000.00,08,07,13,1,1,1,1,2,2,   16.64,2,02,  1390,  2619,1,          98601566,    920736,       25826400,          88119677,    873018,0,0
00057,2,4, 150000.00,07,06,05,1,1,1,2,2,2,  515.96,2,36,  5546,   944,1,          49525378,    340155,        2232000,           7615584,    140319,0,0
00058,3,7, 110000.00,07,03,91,1,1,1,2,2,2,   96.61,1,03,  2997,  1762,1,          16250139,    162962,        3780651,          12899581,    148479,0,0
00059,3,5,  50001.00,06,08,02,1,2,2,2,2,2,  152.41,2,40,    97,  4143,1,           2191722,     41405,         642357,           2191722,     41405,3,3
00060,1,2,  20000.00,04,06,23,1,2,2,1,2,2,  432.28,1,37,  5342,   938,1,           1205709,     33906,         353373,           1205709,     33906,3,3
00061,3,5,   4750.00,02,05,26,1,2,2,2,2,2,  508.07,1,40,  1818,  2216,1,            337051,      7424,          98784,            337051,      7424,0,0
00062,4,8,  90000.00,06,01,13,1,1,2,2,2,2,  158.01,2,10,  5480,   775,1,           4018038,     13169,         215360,            734808,         0,3,0
00063,3,6, 180000.00,07,04,05,1,1,2,2,2,2,   27.35,2,02,  1390,  2619,1,          10369047,     98192,        1911346,           6521513,     79621,0,0
00064,2,4,  75000.00,06,06,13,1,1,2,2,2,2,  130.15,2,18,  7162,   247,1,           1515990,     23071,         327056,           1115915,     20960,0,0
00065,3,7, 350000.00,08,08,02,1,2,1,2,2,2,   20.92,2,25,   866,  3162,1,          14272415,    247125,        4164714,          14210004,    246653,3,0
00066,2,3, 400000.00,08,08,05,1,1,2,2,2,2,   21.41,1,07,  5284,  1023,1,           3694040,     58085,         760963,           2596406,     51414,3,3
00067,2,3, 475000.00,08,07,02,1,2,2,2,2,2,   15.37,1,44,  5961,   889,1,          24110386,    486332,        7066350,          24110386,    486332,3,0
00068,4,9,   7500.00,03,07,05,1,1,2,2,2,2,  937.32,1,43,  5019,    54,1,            137000,      1523,          13010,             44390,       892,0,0
00069,3,7, 150000.00,07,07,02,1,2,1,2,2,2,   99.49,2,21,   866,  3162,1,          13732975,    224687,        4020840,          13719106,    224592,0,0
00070,3,5, 500000.00,08,08,02,1,1,1,2,2,2,    9.03,1,01,  2949,  1352,1,          14907620,    214012,        4224073,          14412537,    211204,0,0
00071,4,8,  17500.00,04,06,14,1,2,2,2,2,2,  221.07,1,32,  1228,  3578,1,           1517914,     44130,         444875,           1517914,     44130,0,0
00072,4,9,  50001.00,06,03,05,1,1,2,2,2,2,  142.27,2,36,  1914,   751,1,            628853,     13223,         100195,            341865,     11318,0,0
00073,1,2,   7500.00,03,01,13,1,1,2,2,2,2, 2741.21,1,37,  5342,   938,1,            998903,     13589,          35753,            121989,      5845,0,0
00074,4,8,  35000.00,05,08,05,1,1,2,2,2,2,  202.10,2,31,  2097,  1918,1,            869932,     24358,         201673,            688108,     22769,0,0
00075,3,7,   7500.00,03,05,02,1,2,2,2,2,2,  485.29,1,33,  1200,  2774,1,            535892,     11732,         157061,            535892,     11732,3,0
00076,1,2,1800000.00,10,03,13,1,1,1,2,1,2,   40.15,1,34,  4558,  1123,1,         177499521,   3672590,       37261473,         127136146,   2914143,0,0
00077,4,8,   1750.00,02,04,05,1,1,2,2,2,2, 5984.84,2,30,  2850,  1494,1,            456664,      4194,          19571,             66776,      1334,3,0
00078,3,6, 190000.00,07,06,02,1,1,1,1,2,2,   91.57,2,39,  2706,  1895,1,          28510939,    366190,        7155087,          24413157,    341647,0,0
00079,4,8,   2750.00,02,04,01,1,1,2,2,2,2, 6693.58,1,10,  5830,   422,1,            254602,      2023,          15660,             53432,      1221,0,0
00080,1,2,  65000.00,06,03,18,1,2,2,2,1,2,  185.83,2,09,  5518,   744,1,           9334755,    119369,         520444,           1775755,     48092,3,3
00081,2,3, 170000.00,07,04,14,1,1,2,2,2,2,   96.65,2,22,  4944,  1101,1,           2739556,     27893,         208800,            712426,     17075,3,3
00082,4,8,   1250.00,02,05,25,1,1,2,2,2,2, 6071.45,2,30,  2850,  1494,1,             65006,       735,           6205,             21171,       415,0,0
00083,4,9, 850000.00,09,03,16,1,2,1,2,1,2,    7.77,1,01,  5019,    54,1,         102754883,    974008,       12868333,          43906752,    419605,0,0
00084,2,4,  20000.00,04,02,14,1,1,2,2,2,2,  173.78,2,42,  4955,  1123,1,           1714360,     11058,         102642,            350215,      4644,0,0
00085,3,5, 200000.00,07,08,02,1,1,1,2,2,2,   43.63,2,17,  4682,   988,1,           3992253,     40382,         411000,           1402332,     22829,3,3
00086,4,9,   3250.00,02,04,18,1,1,2,2,2,2,  524.16,2,10,  1914,   751,1,            308479,      6567,          26414,             90125,      2641,0,0
00087,2,4,  15000.00,04,07,08,1,1,2,2,2,2,  709.42,2,24,  7543,   558,1,           1556607,     21440,         229938,            784548,     17557,3,0
00088,1,2, 800000.00,09,05,02,1,1,1,2,2,2,    8.83,1,05,  4525,  1131,1,          91141490,   1227443,       12676343,          43251682,    946611,0,0
00089,3,5, 425000.00,08,06,02,1,1,1,2,2,2,   36.68,2,08,  4682,   988,1,          22969671,    357978,        6446542,          21995601,    350956,0,0
00090,4,8,  27500.00,05,04,18,1,1,2,2,2,2,  737.64,1,30,  5553,   712,1,           2459329,     17037,         183247,            625239,      7871,3,3
00091,3,5,   3500.00,02,05,26,1,2,1,2,2,2,  698.25,2,24,  4406,  1129,1,            125134,      2942,          32610,            111265,      2803,3,0
00092,3,5,  27500.00,05,05,13,1,2,2,2,2,2,  235.67,1,38,  1074,  2702,1,           1513304,     30477,         443524,           1513304,     30477,0,0
00093,2,3,   7500.00,03,01,01,1,1,2,2,2,2,  113.02,2,02,  6691,   672,1,            473925,      3077,           5238,             17872,       571,3,3
00094,3,7,  17500.00,04,03,05,1,1,2,2,2,2,  236.58,1,15,  1818,  2596,1,            241932,      4049,          42075,            143560,      3443,3,0
00095,3,7,  65000.00,06,04,25,1,1,2,2,2,2,  181.53,1,03,  2997,  1762,1,           2778011,     38948,         662613,           2260836,     36044,0,0
00096,3,5,  21250.00,04,03,14,1,1,2,2,2,2,  173.78,2,43,  2640,  1654,1,            808071,      9225,          60165,            205283,      5415,0,0
00097,3,5,  50000.00,05,05,12,1,1,2,2,2,2,  243.31,2,31,  4406,  1129,1,           1917754,     14074,          48768,            166396,      3282,0,0
00098,3,7,   3000.00,02,01,05,1,1,2,2,2,2,  431.03,2,33,  1818,  2596,1,             26518,       297,           2042,              6967,       165,3,3
00099,1,2,   3750.00,02,02,18,1,2,2,2,1,2, 3494.25,2,37,  6226,   669,1,            998871,     11875,          20771,             70871,      1407,0,0
00100,1,2, 130000.00,07,05,05,1,1,1,2,2,2,   36.04,1,28,  4558,  1123,1,          30344602,    479159,        5835989,          19912394,    409121,0,0
00101,2,3,  35000.00,05,04,14,1,1,2,2,2,2,  147.14,1,22,  4944,  1101,1,           3014569,     29650,         291181,            993510,     19034,3,3
00102,4,9,  10001.00,04,04,02,1,2,2,2,2,2,  352.83,2,41,  1914,   751,1,            454120,     14897,         133095,            454120,     14897,0,0
00103,3,6,  42500.00,05,06,05,1,2,2,2,2,2,  230.47,2,01,  2157,  2403,1,            190475,      5359,          55825,            190475,      5359,3,0
00104,3,7,   1500.00,02,06,26,1,1,2,2,2,2, 5764.94,2,04,  1863,  2292,1,             85740,      1825,          16172,             55179,      1554,0,0
00105,1,2,  10000.00,03,02,15,1,2,1,2,2,2,  437.18,1,23,  4985,  1044,1,           1178764,     19231,         118418,            404042,     14612,3,3
00106,3,7, 300000.00,08,04,02,1,1,2,2,2,2,   18.93,2,18,  1818,  2596,1,          26931853,    327926,        6113575,          20859518,    313129,0,0
00107,3,7, 350000.00,08,08,14,1,1,2,2,2,1,    4.90,1,04,   866,  3162,1,          33404056,    420678,        6153380,          20995333,    337517,0,0
00108,3,6,  25000.00,04,06,13,1,1,2,2,2,2,  437.18,2,39,  2706,  1895,1,           1950501,     38078,         527990,           1801502,     36951,3,0
00109,3,6,  17500.00,04,04,13,1,1,2,2,2,2,  331.45,1,24,  3751,  1412,1,           1915261,     14386,         161402,            550704,      8845,0,0
00110,1,2, 500000.00,08,05,02,1,2,2,2,1,2,    8.04,2,35,  4558,  1123,1,          57417139,    959541,        2402444,           8197139,    313678,0,0
00111,2,3,  90000.00,06,04,05,1,1,2,2,2,2,  256.09,1,16,  6053,   811,1,          20100299,    140014,         651786,           2223894,     68266,0,0
00112,4,8,  25001.00,05,06,05,1,1,2,2,2,2,  185.56,2,19,  1228,  3578,1,            887986,     14267,         140224,            478444,     11248,0,0
00113,4,9, 130000.00,07,04,91,1,1,2,2,2,2,  125.51,2,37,  1914,   751,1,           4056778,     96888,         992975,           3388031,     92772,0,0
00114,3,5,  32500.00,05,04,23,1,1,2,2,2,2,  672.26,2,08,  4682,   988,1,           6307343,    105737,         928478,           3167967,     81317,0,0
00115,4,9,  35000.00,05,03,26,1,1,1,2,2,2,  150.02,1,43,  5019,    54,1,           1089678,      7757,          50920,            173739,      3523,0,0
00116,3,7,  45000.00,05,07,08,1,1,2,2,2,2,  147.14,2,03,  3391,  1494,1,           5042776,     50137,         902473,           3079238,     42115,0,0
00117,3,5,  22500.00,04,06,91,1,1,2,2,2,2,  211.49,1,44,  3274,  1466,1,           2136133,     17502,          67202,            229293,      4866,0,0
00118,2,4,   1500.00,02,06,15,1,2,2,2,2,2, 3494.37,2,41,  4111,  1252,1,             68052,      1429,          19945,             68052,      1429,0,0
00119,3,5, 120000.00,07,05,23,1,2,2,2,2,2,  116.06,1,38,  1074,  2702,1,           8722502,    177872,        2556419,           8722502,    177872,0,0
00120,3,7,  20000.00,04,04,23,1,2,2,2,2,2,  420.46,1,04,   866,  3162,1,            659949,     12325,         193420,            659949,     12325,3,3
00121,4,9, 150000.00,07,05,16,1,2,1,2,1,2,   28.73,2,18,  5019,    54,1,          22817538,    232401,        2512942,           8574158,     97010,0,0
00122,2,3, 450000.00,08,08,91,1,1,2,2,2,2,   43.63,2,32,  6022,   759,1,          40267851,    420621,        7268683,          24800746,    377983,0,0
00123,2,3, 130000.00,07,03,13,1,2,2,2,1,2,   26.67,2,34,  7065,   623,1,          17196278,    157668,        2259460,           7709278,    106330,0,0
00124,3,7,   3500.00,02,02,25,1,1,2,2,2,2, 5570.99,2,15,  1500,  2724,1,            345433,      6070,          96355,            328763,      5647,0,0
00125,3,5,  37500.00,05,04,13,1,1,2,2,2,1,  182.58,1,33,  4406,  1129,1,           3991268,     56529,         608119,           2074902,     41265,0,0
00126,4,9,  30000.00,05,02,05,1,2,2,2,2,2,  185.69,2,36,  1914,   751,1,            264526,      8923,          77528,            264526,      8923,0,0
00127,3,5, 120000.00,07,07,25,1,2,2,2,2,2,  141.67,1,14,  3994,  1192,1,          17618841,    301219,        5163787,          17618841,    301219,3,3
00128,4,8,  15000.00,04,03,14,1,1,2,2,2,2, 2898.57,2,35,  6633,   216,1,            560668,      3351,          15431,             52651,      1037,0,0
00129,3,7, 110000.00,07,04,18,1,1,2,2,1,2,   31.41,2,42,  1818,  2596,1,          16618133,     83266,        1171719,           3997905,     44088,0,0
00130,2,3,   9000.00,03,01,12,1,1,2,2,2,2,  461.36,1,02,  6691,   672,1,            375663,      2718,          12056,             41135,       939,0,0
00131,1,1, 100001.00,07,07,25,1,1,2,2,2,2,   34.55,2,20,  5724,   768,1,          13697422,    283635,        3119689,          10644379,    255202,0,0
00132,3,7,  15000.00,04,04,13,1,1,2,2,2,2, 2741.21,2,03,  3391,  1494,1,           1040494,      8083,         114532,            390783,      5481,0,0
00133,2,4,  13750.00,04,03,01,1,2,2,2,2,2,  518.39,2,41,  4111,  1252,1,             74098,      1805,          21717,             74098,      1805,3,0
00134,4,9,  10000.00,03,05,13,1,1,2,2,2,2,  709.42,1,41,  1914,   751,1,            312979,      9586,          76891,            262352,      9025,0,0
00135,3,6,   5500.00,03,04,08,1,1,2,2,2,2,  352.83,1,39,  3700,  1122,1,            458124,      8281,          98139,            334850,      7159,0,3
00136,2,3,   5000.00,02,07,05,1,2,2,1,2,2,13279.23,1,26,  5429,   996,1,              6872,       226,           2014,              6872,       226,3,3
00137,3,6,  18750.00,04,03,12,1,1,2,2,2,2,  449.97,2,02,  1390,  2619,1,            795802,     14995,         186310,            635690,     13831,0,0
00138,4,9, 300000.00,08,08,07,1,1,1,2,2,2,   28.25,1,29,  4716,   201,1,          45370696,    374103,        6130134,          20916017,    256936,0,0
00139,2,3, 300000.00,08,07,91,1,1,2,1,2,2,   91.57,1,21,  5961,   889,1,          29735743,    549259,        8558617,          29202001,    546151,0,0
00140,4,9, 300000.00,08,04,01,1,2,2,2,1,2,   14.12,1,29,  4716,   201,1,          18182320,    179398,         638429,           2178320,     28490,0,0
00141,2,3, 100001.00,07,08,14,1,1,2,2,2,2,   29.17,1,38,  5961,   889,1,           8842799,     43337,         477642,           1629715,     35625,3,3
00142,2,3,  22500.00,04,02,14,1,1,2,2,2,2,  205.09,1,07,  5284,  1023,1,           1808696,     12146,          59177,            201912,      4042,0,0
00143,2,3,  20000.00,04,07,05,1,1,2,2,2,2,  440.18,1,34,  6986,   514,1,           5847559,     20326,         109281,            372867,      3934,0,0
00144,2,3,   5500.00,03,02,25,1,1,2,2,2,2,  492.06,1,07,  5284,  1023,1,            276750,      2346,           8369,             28555,       798,0,0
00145,1,2, 300000.00,08,05,24,1,1,2,2,2,2,   16.06,1,17,  5066,   935,1,           3252247,     39296,         351582,           1199598,     26547,0,0
00146,4,8,   9500.00,03,04,13,1,1,2,2,2,2, 5494.32,1,30,  2097,  1918,1,           1313751,     10498,          30136,            102824,      2836,0,0
00147,4,8,  10001.00,04,02,14,1,2,2,2,2,2,  437.18,1,30,  5553,   712,1,            619722,      9180,         181630,            619722,      9180,3,0
00148,1,1,  60000.00,06,04,02,1,2,1,1,2,2,  551.87,1,30,  5274,   779,1,           2927365,     25027,          76916,            262437,     10027,3,0
00149,1,2,  85000.00,06,01,02,1,2,1,2,2,2,  188.42,1,34,  4558,  1123,1,           4387764,     42008,         170932,            583220,     23931,0,0
00150,4,9,  12500.00,04,05,14,1,1,2,2,2,2,  464.40,2,28,  1914,   751,1,            459240,      6919,          48132,            164226,      4813,0,0
00151,3,5,   9500.00,03,02,15,1,1,2,2,2,2, 3494.37,1,07,  2949,  1352,1,           4142437,     35497,         385812,           1316391,     27074,3,0
00152,2,3,  40000.00,05,03,15,1,2,2,2,1,1,  157.06,1,22,  4944,  1101,1,           5878908,     62307,         133912,            456908,     11181,3,0
00153,2,3, 100001.00,07,01,02,1,2,2,2,1,2,   26.67,2,34,  7065,   623,1,           9454457,     95579,        1503944,           5131457,     73080,0,0
00154,3,6,  45000.00,05,06,18,1,1,2,2,2,2,  350.45,2,24,  3143,  1784,1,           2456790,     19313,         149721,            510848,     10534,0,0
00155,1,1, 130000.00,07,07,14,1,2,1,1,2,2,  145.77,1,25,  6673,   392,1,           9690991,    128448,        1011120,           3449941,    102348,0,0
00156,1,2,  13750.00,04,03,06,1,1,2,2,2,2, 2911.94,2,38,  5518,   744,1,           4701181,     68328,         846720,           2889009,     56295,0,0
00157,4,8,   5001.00,03,03,12,1,1,2,2,2,2,  464.40,1,30,  5553,   712,1,            267553,      2483,          20059,             68441,      1495,0,0
00158,3,6,  12500.00,04,06,25,1,2,2,2,2,2,  478.12,1,39,  3700,  1122,1,            247964,      4801,          72674,            247964,      4801,0,0
00159,1,2, 325000.00,08,06,02,1,1,1,2,2,2,   15.37,1,41,  5518,   744,1,          30798379,    515788,        5632933,          19219567,    433993,0,0
00160,3,6, 300000.00,08,03,02,1,2,1,2,1,2,   18.10,2,39,  2706,  1895,1,          60782676,   1055823,       14153226,          48290807,    864762,0,0
00161,3,6, 110000.00,07,06,02,1,1,2,2,2,2,  193.71,1,24,  3751,  1412,1,           5203826,     42213,         590278,           2014029,     28510,0,0
00162,4,9, 200000.00,07,04,14,1,1,2,2,2,2,  515.59,2,10,  1914,   751,1,           3024434,     48286,         279174,            952542,     36400,0,0
00163,2,3, 250000.00,08,03,05,1,1,2,1,2,2,  136.30,1,07,  5284,  1023,1,           3226369,     40244,         553115,           1887228,     33603,0,0
00164,3,6,  10000.00,03,06,02,1,1,2,2,2,2, 2911.94,2,12,  3700,  1122,1,            903731,     13786,         179038,            610878,     11955,0,0
00165,4,9,  15000.00,04,03,05,1,1,2,2,2,2,  216.49,2,36,  1914,   751,1,            359569,     12394,         102760,            350617,     12093,0,0
00166,2,3, 800000.00,09,06,24,1,1,1,2,2,2,   19.11,2,34,  7065,   623,1,          37244612,    570396,        8613943,          29390774,    532942,3,0
00167,3,6,  40000.00,05,04,14,1,1,2,2,2,2,  195.91,2,02,  1390,  2619,1,           1811655,     34302,         442813,           1510878,     32117,0,0
00168,3,7,  50000.00,05,04,18,1,2,2,2,1,2,  218.26,1,04,   866,  3162,1,           7746706,     78986,        1408765,           4806706,     51263,0,0
00169,2,3,  35000.00,05,03,14,1,1,2,2,2,2,  388.22,2,16,  4668,  1203,1,           1911234,     15120,         117759,            401794,      7957,0,0
00170,1,2, 550000.00,09,04,02,1,2,2,2,1,2,   20.97,1,27,  4558,  1123,1,          57418999,   1113877,        6902110,          23549999,    669052,0,0
00171,3,7,   2250.00,02,01,02,1,1,2,2,2,2, 6765.32,1,03,  2926,  1896,1,            156624,      3050,          21385,             72966,      2521,0,0
00172,3,7,  65000.00,06,05,02,1,1,2,2,2,2,  419.28,1,25,   866,  3162,1,            508786,     12078,         145377,            496026,     12000,3,0
00173,3,5,  32500.00,05,03,26,1,1,2,2,2,2,  133.68,2,44,  4919,  1013,1,           2152284,     31646,         366461,           1250365,     25144,3,3
00174,1,1, 425000.00,08,07,02,1,1,1,2,2,2,   18.93,1,36,  5274,   779,1,          90689690,   2000160,       23763008,          81079383,   1903587,0,0
00175,1,2, 250000.00,08,05,16,1,1,1,2,2,2,   14.37,1,12,  4558,  1123,1,          40982816,   1089720,        5274380,          17996185,    971670,0,0
00176,3,6,  12500.00,04,05,26,1,1,2,2,2,2,  331.47,2,24,  3143,  1784,1,           1835881,     25525,         458810,           1565460,     24321,0,0
00177,4,9,  11250.00,04,05,02,1,1,2,2,2,2,  335.98,1,11,  3028,  1168,1,            676051,     17654,         138878,            473852,     15990,3,0
00178,1,2,1000000.00,09,05,16,1,1,1,2,2,2,    8.37,2,03,  5342,   938,1,         302451641,   2445602,       27391946,          93461320,   2243975,0,0
00179,3,5,  45000.00,05,05,14,1,2,1,1,2,2,  215.22,1,14,  3994,  1192,1,           2989622,     34031,         307140,           1047962,     25369,0,0
00180,3,7,  12500.00,04,06,02,1,1,2,2,2,2, 5678.98,1,03,  2997,  1762,1,           2266300,     25661,         494122,           1685944,     21961,0,0
00181,1,2,   3750.00,02,01,01,2,2,2,2,2,2, 2911.94,2,33,  4985,  1044,2,                  ,          ,               ,                  ,          ,9,9
00182,1,2,  90000.00,06,06,17,1,2,1,1,2,2,  147.14,1,37,  5342,   938,1,          18381613,    232831,        1736934,           5926419,    181744,0,0
00183,1,2,1800000.00,10,06,02,1,2,2,2,1,2,    5.27,1,18,  4558,  1123,1,         194027655,   2336253,        6317308,          21554655,    709945,0,0
