PUBID7   ,REGION7  ,CENDIV7  ,SQFT7    ,SQFTC7   ,YRCONC7  ,PBA7     ,ELUSED7  ,NGUSED7  ,FKUSED7  ,PRUSED7  ,STUSED7  ,HWUSED7  ,ADJWT7   ,PAIR7    ,STRATUM7 ,HDD657   ,CDD657   ,MFUSED7  ,MFBTU7   ,MFEXP7   ,ELCNS7   ,ELBTU7   ,ELEXP7   ,zelcns7  ,zelexp7
03186,2,4, 110000.00,07,04,23,1,1,2,2,2,2,  145.58,1,24,  7543,   558,1,           4898707,     71696,         887512,           3028191,     61368,3,0
03187,1,2,   5000.00,02,06,15,1,1,2,2,2,2, 3494.37,2,37,  6226,   669,1,            801466,     15002,          92489,            315572,     11355,3,3
03188,2,4, 130000.00,07,01,13,1,2,2,2,1,2,   30.81,2,08,  4597,  1244,1,           6056803,     98113,        1030423,           3515803,     76568,0,0
03189,1,2, 550000.00,09,07,02,1,1,1,2,2,2,   16.08,2,24,  5342,   938,1,          49886401,    900382,       10847720,          37012421,    840902,0,0
03190,3,6,  32500.00,05,08,18,1,1,2,2,2,2,  628.45,1,06,  3751,  1412,1,           2211642,     26136,         329181,           1123166,     21423,3,3
03191,2,4, 900000.00,09,03,24,1,1,2,2,2,2,   87.17,1,36,  4955,  1123,1,          61076596,   1323030,       15863758,          54127142,   1279939,0,0
03192,2,3,  23750.00,04,03,01,1,1,2,2,2,2,  223.21,1,32,  5780,   899,1,           1689131,      3201,          28417,             96959,      3201,0,0
03193,3,5, 500000.00,08,03,02,1,1,1,2,1,2,   14.49,1,44,  3274,  1466,1,          33873003,    487528,        4627128,          15787761,    280150,3,0
03194,3,5,  60000.00,06,08,02,1,1,2,1,2,2,  133.14,2,15,  2949,  1352,1,           3552377,     54689,         802198,           2737100,     50137,0,0
03195,3,7,1500000.00,10,06,02,1,1,1,2,2,2,    5.27,2,23,   866,  3162,1,         149573471,   2686549,       42873724,         146285146,   2666419,0,0
03196,2,3,   1500.00,02,01,25,1,1,2,2,2,2,  602.97,1,26,  5429,   996,1,             25041,       504,           3690,             12590,       414,3,3
03197,2,3,   9000.00,03,04,13,1,1,2,2,2,2,  490.14,1,28,  7377,   408,1,            368263,      2306,           5303,             18094,       301,0,0
03198,3,5, 110000.00,07,05,02,1,2,1,2,2,2,   99.49,2,40,    97,  4143,1,          11072114,    327160,        3208468,          10947293,    326215,0,0
03199,3,5,  42500.00,05,04,05,1,1,2,2,2,2,  185.56,2,05,  2949,  1352,1,            962920,      7313,          58562,            199814,      4884,3,3
03200,3,5,   4500.00,02,03,14,1,2,2,2,2,2,  423.22,2,01,   363,  3331,1,            173040,      3309,          50715,            173040,      3309,0,0
03201,4,9,  27500.00,05,04,14,1,1,2,2,2,2, 2741.21,2,11,  4038,   619,1,           2009211,     29050,         236346,            806413,     21782,3,3
03202,1,2,  18750.00,04,05,13,1,1,2,2,2,2,  184.60,2,43,  4558,  1123,1,           1467134,     31582,         234597,            800445,     26062,0,0
03203,2,4,  50000.00,05,03,14,1,1,2,2,2,1,  880.08,2,36,  5546,   944,1,           3840952,     35782,         132644,            452581,      8435,3,3
03204,4,8, 180000.00,07,05,16,1,1,1,1,2,2,   28.73,2,30,  2850,  1494,1,          30535294,    297997,        4448827,          15179398,    206125,3,0
03205,2,3,   6000.00,03,04,12,1,1,2,2,2,2,  464.40,2,01,  5961,   889,1,            344695,      5732,          24000,             81888,      3421,0,0
03206,2,3,  30000.00,05,05,02,1,2,2,2,1,2,  143.58,2,32,  6022,   759,1,          13695521,    178491,        2768324,           9445521,    138416,0,0
03207,3,5, 160000.00,07,07,05,1,1,2,2,2,2,   40.78,1,31,  2944,  1534,1,          11478711,    188023,        2932502,          10005697,    178835,3,3
03208,4,8,  30000.00,05,08,25,1,1,2,2,2,2,  220.60,2,28,  6633,   216,1,           2753080,     35041,         627078,           2139590,     32086,0,0
03209,3,6,  13750.00,04,06,08,1,1,2,2,2,2,  179.62,2,01,  2157,  2403,1,           2797506,     45924,         725778,           2476355,     44184,3,0
03210,3,7,  27500.00,05,04,25,1,1,2,2,2,2,  232.01,2,27,  1818,  2596,1,           5775632,     71010,        1045605,           3567604,     60403,0,0
03211,4,9,   9500.00,03,05,15,1,1,2,2,2,2, 3494.37,1,29,  4716,   201,1,           3237842,     32642,         544776,           1858776,     24370,0,0
03212,2,3, 300000.00,08,06,17,1,1,1,2,2,2,  221.52,2,26,  5771,   889,1,          32709227,    227562,        3113587,          10623559,    181912,0,0
03213,2,3,   8000.00,03,06,05,1,1,2,2,2,2,  475.78,2,26,  5771,   889,1,            237185,      3322,          27625,             94257,      2102,0,0
03214,1,2, 120000.00,07,04,16,1,1,1,2,1,2,   28.73,1,04,  4985,  1044,1,          22212889,    276706,        3016779,          10293250,    164357,0,0
03215,3,7,   2500.00,02,07,01,2,2,2,2,2,2, 6059.80,1,33,  1200,  2774,2,                  ,          ,               ,                  ,          ,9,9
03216,4,9,  42500.00,05,08,06,1,1,2,2,2,2,  112.04,1,12,  1914,   751,1,           9109460,    174205,        2408599,           8218140,    169464,0,0
03217,3,6,  45000.00,05,06,25,1,2,2,1,2,2,  134.98,2,02,  1390,  2619,1,           3450750,     46508,        1011357,           3450750,     46508,0,0
